Quiz,Assignment,Midterm,Final Project,Pass
0,28.33333333,38.5,31,0
100,89.5,90,100,1
75,84,65,65,1
100,95.66666667,96,100,1
87.5,40.33333333,61.5,41,1
100,92.66666667,90.25,100,1
12.5,60.83333333,60,41,0
87.5,21,65.75,100,1
87.5,66.58333333,5,0,0
100,90.66666667,69.75,80,1
0,46,55,89,0
0,49.5,20.5,6,0
50,77.33333333,89.5,0,1
87.5,89.08333333,75,98,1
100,83.5,55.5,60.5,1
100,94,100,92,1
100,93.66666667,92,100,1
75,75.5,99,36.5,1
37.5,49,70,36,1
100,80.75,80,100,1
0,67.16666667,42.5,100,0
100,40.66666667,41,0,0
50,47.5,55.5,100,1
50,59.33333333,95,100,1
0,10.66666667,31.5,0,0
100,93.5,99,100,1
25,46.83333333,29,0,0
0,0,0,0,0
100,43.66666667,52.5,95,1
0,22.16666667,0,0,0
100,53.16666667,84.5,100,1
0,81.83333333,88.25,95,1
62.5,84.33333333,74.5,29,1
87.5,84.66666667,90,97,1
75,63.5,67.5,0,1
100,97.33333333,76,100,1
100,81,82,30,1
75,70.08333333,78,74.5,1
87.5,52.75,60,100,1
87.5,87.5,97,100,1
100,79.25,74,100,1
100,91.16666667,100,41,1
100,87.08333333,73.25,100,1
100,90.33333333,83,100,1
100,93.83333333,95.75,100,1
25,56.66666667,63.75,100,1
87.5,81.66666667,86,83,1
87.5,94.25,86.5,100,1
62.5,71.08333333,55.5,100,1
100,93.66666667,95,93,1
50,29,70.5,100,1
100,86.75,89.5,98,1
100,95.83333333,89.5,100,1
100,82.66666667,69,69,1
87.5,74.33333333,83,41,1
0,49.16666667,73.5,0,0
100,86.16666667,77.25,100,1
37.5,74.41666667,54,94,1
100,81.33333333,94.5,43,1
100,69.83333333,87.5,97,1
12.5,63.33333333,75,75,1
50,61.25,83,0,0
100,96.08333333,100,100,1
100,93.33333333,97.5,100,1
37.5,82.75,65.5,80,1
50,53.25,60.25,41,1
100,90.16666667,87.5,45,1
37.5,93.5,100,100,1
87.5,73.16666667,43,84.5,1
100,91.08333333,78,100,1
75,80.41666667,71,100,1
75,81.58333333,58.5,100,1
75,81.66666667,56.5,84.5,1
100,94.5,96,100,1
100,79.33333333,68.5,85,1
100,67.83333333,56.75,41,1
0,81.66666667,59,49,1
100,76.83333333,79.5,100,1
87.5,81.66666667,64,98,1
100,51.83333333,86.25,100,1
37.5,29.75,40,0,0
100,92.5,98.5,100,1
100,75.83333333,88,100,1
100,92,100,100,1
100,92.5,76.5,100,1
50,73.5,61,88,1
25,61.25,28,100,0
50,88,98,90,1
100,97.66666667,94,100,1
100,23.83333333,21.5,49,0
0,40.16666667,71.5,0,0
100,83.83333333,47,100,1
100,86.33333333,81,98.5,1
100,87.83333333,87.5,100,1
100,89.41666667,55.5,100,1
100,72.33333333,34,48.5,1
100,76,75.5,9,1
100,89.33333333,92.5,100,1
62.5,73.66666667,87.5,100,1
100,79.33333333,77,85,1
37.5,75.25,82,41,1
100,72.33333333,65,57,1
50,87.16666667,85.5,0,1
87.5,91,87,100,1
87.5,62.33333333,78,38,1
100,87.91666667,92.5,100,1
62.5,59.33333333,43.5,14,0
100,86.66666667,88,100,1
100,78,47,36,1
75,41.16666667,56.5,84,1
37.5,77.91666667,82,96.5,1
87.5,77.16666667,89,75,1
100,74.75,77.5,70,1
100,75.33333333,93,70,1
100,76.25,54,73.5,1
