Size,Bedrooms,Bathrooms,Distance_to_school
2882,1,3,2.04493935
2200,4,1,0.781824521
2489,4,2,1.638578558
3120,2,3,1.119096
2933,2,1,1.454175005
1511,5,1,1.50426142
2475,2,2,1.345054747
1924,4,2,2.06997865
1948,4,1,2.389787936
2205,4,1,1.556198641
2072,2,1,1.935065765
2727,3,3,1.826925251
2380,1,2,0.841517818
2060,5,1,1.972494751
2221,3,2,1.995631398
2166,1,3,1.870133452
2747,2,1,1.767041443
1897,5,2,1.296498029
2156,5,3,0.709231714
1572,2,1,1.472233282
723,3,2,1.666117462
2326,1,1,2.390015711
2432,4,2,1.934307453
1628,4,2,1.349004332
3134,1,3,1.861961244
1272,4,3,1.87041766
2022,3,3,1.207902192
1906,2,3,1.504351569
2766,4,3,2.082478965
2734,2,2,1.597432442
2077,4,3,2.351442462
2189,4,2,1.525535955
1556,5,2,2.796428432
1009,4,1,0.908580838
1826,5,2,1.45066913
2078,1,2,1.3819252
2615,4,3,1.34760216
2601,4,2,1.817297351
1806,4,3,2.612358215
1848,5,2,0.758636225
1475,4,2,1.115449654
1289,3,3,1.905306922
1146,1,1,1.976816158
2975,2,2,1.876325034
1745,2,2,1.446292684
1780,5,3,0.858419273
1373,1,3,1.6189487
2388,1,1,-0.053186401
1193,2,1,1.507430499
1893,5,1,0.520069929
1552,3,2,1.648196185
2193,1,2,0.984176237
1744,2,3,1.153231853
1409,3,3,1.04238717
1985,3,3,1.018392938
2214,3,1,1.813499502
2033,4,1,1.256522795
2151,3,1,1.375519118
1682,3,2,0.787011599
1818,2,2,1.775186195
1663,5,3,1.614677794
1820,4,1,1.978893091
1593,2,2,1.353301471
1136,2,1,1.29135518
2088,3,2,0.821743966
1799,4,1,1.616033382
1184,5,2,1.203312685
2231,5,2,1.631815853
1546,2,2,0.792409226
2025,4,2,1.230654751
2364,2,3,1.342244836
2064,2,1,1.628418952
2569,5,2,1.641893034
1382,5,2,1.308773721
2201,2,1,2.086966044
1657,5,2,1.197131169
1564,5,2,1.178488673
1710,3,1,1.628587326
1844,3,3,1.733302629
2028,1,3,1.708118496
1417,1,2,1.852737286
2450,2,3,1.601205223
2232,2,3,1.955850344
1231,2,2,1.40242518
2744,2,2,2.241997563
2947,5,3,1.390126151
2589,1,2,2.453309425
1910,2,2,1.382053271
1464,3,3,0.509019094
2527,5,1,0.938109764
1798,1,3,2.087574878
2611,5,3,1.817018692
2104,4,3,1.401941123
2488,2,2,1.326026615
2178,3,3,0.677659687
2353,1,2,1.853671967
2005,5,1,1.597091629
2892,1,3,1.981389017
2063,4,1,0.9833178
2200,3,3,1.674782549
2941,5,2,1.356454982
1326,4,1,1.080662727
1364,3,3,1.926272818
2484,2,1,1.053753682
1413,1,2,1.776774287
2971,4,2,1.28117676
1793,1,3,1.868669089
1626,1,3,0.900008216
2961,4,1,1.654232243
2740,4,2,0.887186006
2933,5,2,2.892717682
2453,3,3,1.574183383
1569,2,2,1.828435404
2955,3,2,1.412178198
1865,2,2,1.794495304
2401,2,1,1.363266476
2473,5,1,1.138836348
1922,3,1,2.16793464
2307,4,2,2.032862129
2461,1,3,1.440820518
10000,5,3,1.319773181
1450,5,3,1.333432317
2149,5,1,1.664665572
2663,4,2,1.523033979
1652,1,1,2.71156362
1925,2,1,1.49867568
1782,4,3,2.239108662
2924,3,3,1.989491458
2336,3,2,1.895292169
2203,4,1,1.683069821
1615,5,2,1.814187737
2269,4,1,1.452904655
1662,1,2,1.136274206
2015,2,1,1.948230278
1682,2,2,1.12179195
2338,2,1,0.714447539
2288,2,1,1.438116921
1895,5,3,1.100811941
2198,3,1,1.814907258
1453,3,3,1.569173975
1254,4,2,1.193977953
2219,2,3,2.036333026
2083,3,1,2.513049518
2317,1,3,1.975101412
3191,4,3,2.162710941
2472,5,2,1.533976265
1543,3,3,2.191888495
2558,2,2,0.704355604
1342,5,2,1.645978463
1769,1,3,1.289154796
1965,1,1,1.677926005
2856,1,2,1.241400496
1627,5,3,2.378032365
1586,3,2,1.29242113
1950,3,3,1.612164461
1668,2,3,1.671398059
2563,5,1,0.466620995
1460,3,3,1.856170533
1426,4,2,1.99433441
1781,2,2,1.574858913
1750,3,1,1.049282095
2964,4,2,1.725476959
2474,2,1,1.717630096
2043,1,3,1.691610122
1387,1,3,1.290872663
2422,4,3,1.863022977
1499,1,1,1.136716103
1227,4,2,1.634607668
2594,2,2,1.465118146
2158,3,3,1.682702286
2460,2,2,1.63257332
2159,4,1,3.044779562
2428,5,1,1.169528509
1674,5,1,1.606517489
1482,4,1,1.310682768
2340,1,2,0.885239028
1598,4,1,0.694179005
1655,3,2,1.058978406
1772,2,3,1.79053929
2008,4,2,1.726233376
1823,3,1,2.143213507
1312,5,2,0.702954521
1678,4,3,1.736114034
888,1,3,1.489796085
2312,4,3,1.359017872
1198,5,2,0.870749599
1447,3,1,1.449974829
2026,4,1,1.525990923
1630,4,2,1.558021797
2771,1,1,1.408366074
1353,4,1,1.969553298
2133,2,2,1.385969025
1980,4,3,2.464370373
1415,3,1,1.315154515
2261,2,3,1.509175726
1914,1,1,2.379531449
2385,3,3,1.639945004
2411,1,3,1.979867863
3081,4,1,1.428920671
2668,4,1,0.878649263
1815,4,2,1.461474161
1880,5,1,1.423958978
2549,5,1,0.917938836
2327,5,2,1.915295261
2320,2,3,1.235241375
1191,5,2,1.90739724
1987,4,3,2.135250707
1630,4,2,1.674310831
2139,1,1,2.148301748
1950,3,1,1.690808005
2455,3,3,1.22034479
2158,2,1,0.810489712
2393,3,3,1.452417458
1766,2,2,1.669069629
1527,1,1,1.224814597
1794,4,3,1.082098965
1991,4,2,1.534371444
2189,2,1,1.406918822
3129,5,1,1.461944108
1978,1,3,0.918190629
1522,4,1,1.897516652
1827,4,3,1.424724532
1768,1,1,1.774865914
2240,2,2,1.729535863
1229,5,1,1.55670051
2031,2,3,1.868312882
2078,1,3,2.112377501
2116,3,3,1.404652489
1701,2,2,0.644836111
1881,3,1,1.236013833
1287,1,1,0.369982151
1753,3,1,1.436655592
1728,4,3,1.51840191
2208,3,3,2.856575818
1421,5,1,1.210955787
2390,5,3,1.521158921
2747,1,1,1.127045026
965,5,1,0.922491213
2213,3,3,1.607176411
2338,4,1,1.067126277
1681,1,3,1.373818158
1801,2,1,1.382382905
1933,4,3,0.095378309
1851,2,3,1.219892598
1845,1,3,1.639107054
1161,2,1,1.540568149
2576,4,1,1.494871201
2539,5,2,1.209715407
1593,1,1,1.24032584
1266,5,1,2.038418568
2260,5,1,1.035920723
1712,5,2,1.390084882
2070,4,2,1.175949855
1840,3,1,1.520264814
2345,5,1,2.023638871
2347,3,3,0.881282528
1637,1,1,1.079014696
1308,2,3,1.9530853
1208,5,1,2.280129704
2305,3,3,2.828215091
1405,1,2,1.147588255
7755,4,2,2.237872967
1701,1,1,1.114732987
1973,4,2,1.324705164
1031,2,2,0.563246584
2094,2,3,1.191556523
2261,3,2,1.269096873
2044,4,1,1.291684916
1844,4,1,2.041344248
2048,2,2,1.184007035
2199,1,1,1.974346629
613,1,2,1.401599834
2977,3,1,1.407090556
2195,2,3,1.792718002
1673,2,2,0.437972357
1804,5,1,1.423553467
2246,3,3,1.388683722
1941,2,2,1.05353165
984,5,1,1.319783902
3032,4,2,1.618240876
1944,5,3,1.859341538
2510,2,2,1.405181205
1653,1,3,1.604631622
2768,3,3,0.970744887
2143,4,1,0.88483994
2304,1,3,1.564936895
1477,3,3,1.671067069
2605,4,1,1.387389616
2344,4,3,0.544873739
2650,2,1,2.161295385
1685,5,1,1.795707117
1759,1,3,1.734371092
3151,5,2,1.379216569
1469,2,3,0.520577043
1932,2,2,2.096544072
2568,1,3,2.029053899
2048,4,1,1.21978173
2291,3,3,1.362635283
1800,4,1,0.693891579
2185,5,2,0.934744662
1346,1,3,1.397764586
2829,2,2,1.107198693
1940,4,3,1.116687782
1659,1,1,2.08152093
2333,3,1,1.015801933
1769,2,3,1.393208651
1332,4,2,1.645127449
1326,2,3,2.171914685
2346,5,3,0.208776436
1920,3,3,0.735803631
1933,3,2,1.114749338
2538,3,3,1.044428217
1436,5,1,1.629197418
1634,4,3,1.510935832
1807,4,3,1.367334949
2047,4,1,0.479016996
1978,4,3,1.547117094
1856,4,2,2.018232649
1969,1,3,0.639624441
1946,5,2,2.077599163
1640,3,3,2.50980082
1593,4,3,0.171771778
2137,4,3,1.748125086
1554,3,2,1.674573235
1421,3,1,1.196711266
1843,1,3,2.489993913
1921,5,3,1.280655441
3128,2,3,1.7730326
1647,1,1,0.835661701
2471,2,3,1.033381631
2373,1,2,2.285862493
1405,5,1,1.265155545
2386,5,2,0.484948206
1408,2,2,2.275030354
670,4,1,1.650018523
2303,4,1,1.013649476
