code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,is_attrition,date_registration,module_presentation_length,early_assessment_count_expected,early_assessment_weight_expected,assessment_submission_count_early,assessment_score_mean_early,assessment_score_std_early,assessment_score_max_early,assessment_score_min_early,assessment_weighted_score_sum_early,assessment_mean_submission_delay_early,assessment_late_submission_count_early,assessment_banked_count_early,assessment_type_count_cma_early,assessment_type_count_tma_early,vle_total_clicks_early,vle_event_count_early,vle_active_days_early,vle_unique_sites_early,vle_clicks_dataplus_early,vle_clicks_dualpane_early,vle_clicks_externalquiz_early,vle_clicks_forumng_early,vle_clicks_glossary_early,vle_clicks_homepage_early,vle_clicks_htmlactivity_early,vle_clicks_oucollaborate_early,vle_clicks_oucontent_early,vle_clicks_ouelluminate_early,vle_clicks_ouwiki_early,vle_clicks_page_early,vle_clicks_questionnaire_early,vle_clicks_quiz_early,vle_clicks_repeatactivity_early,vle_clicks_resource_early,vle_clicks_sharedsubpage_early,vle_clicks_subpage_early,vle_clicks_url_early,assessment_submission_ratio_early,assessment_weighted_score_ratio_early,registration_lead_days
AAA,2013J,11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,0,-159.0,268,2,30.0,2.0,81.5,4.949747468305833,85.0,78.0,24.8,-1.0,0.0,0.0,0.0,2.0,554.0,94.0,20.0,34.0,0.0,0.0,0.0,98.0,0.0,75.0,0.0,0.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,23.0,1.0,1.0,0.8266666666666667,159.0
AAA,2013J,28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,0,-53.0,268,2,30.0,2.0,69.0,1.4142135623730951,70.0,68.0,20.6,0.5,1.0,0.0,0.0,2.0,752.0,209.0,32.0,40.0,0.0,0.0,0.0,265.0,0.0,170.0,0.0,0.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,62.0,33.0,1.0,0.6866666666666668,53.0
AAA,2013J,30268,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,1,-92.0,268,2,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,76.0,12.0,22.0,0.0,0.0,0.0,126.0,0.0,59.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,22.0,4.0,0.0,0.0,92.0
AAA,2013J,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,0,-52.0,268,2,30.0,2.0,71.5,0.7071067811865476,72.0,71.0,21.4,-2.5,0.0,0.0,0.0,2.0,953.0,279.0,48.0,46.0,0.0,0.0,0.0,244.0,1.0,204.0,0.0,0.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,79.0,39.0,1.0,0.7133333333333333,52.0
AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,0,-176.0,268,2,30.0,2.0,49.5,27.577164466275352,69.0,30.0,12.9,14.0,2.0,0.0,0.0,2.0,626.0,170.0,31.0,37.0,0.0,0.0,0.0,138.0,2.0,117.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,31.0,6.0,1.0,0.43,176.0
AAA,2013J,38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,0,-110.0,268,2,30.0,2.0,74.0,7.0710678118654755,79.0,69.0,21.700000000000003,5.0,1.0,0.0,0.0,2.0,1044.0,295.0,56.0,45.0,7.0,0.0,0.0,449.0,0.0,250.0,0.0,0.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,40.0,17.0,1.0,0.7233333333333334,110.0
AAA,2013J,45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,0,-67.0,268,2,30.0,2.0,67.5,3.5355339059327378,70.0,65.0,20.0,0.5,1.0,0.0,0.0,2.0,725.0,151.0,33.0,32.0,0.0,0.0,0.0,89.0,0.0,151.0,0.0,2.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,63.0,14.0,1.0,0.6666666666666666,67.0
AAA,2013J,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,0,-29.0,268,2,30.0,2.0,72.0,0.0,72.0,72.0,21.6,1.0,1.0,0.0,0.0,2.0,622.0,237.0,36.0,32.0,0.0,0.0,0.0,242.0,0.0,136.0,0.0,1.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,53.0,25.0,1.0,0.7200000000000001,29.0
AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,0,-33.0,268,2,30.0,2.0,70.0,2.8284271247461903,72.0,68.0,20.8,0.0,0.0,0.0,0.0,2.0,679.0,216.0,44.0,34.0,0.0,0.0,0.0,134.0,0.0,181.0,0.0,2.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,84.0,47.0,1.0,0.6933333333333334,33.0
AAA,2013J,53025,M,North Region,Post Graduate Qualification,,55<=,0,60,N,Pass,0,-179.0,268,2,30.0,2.0,75.5,6.363961030678928,80.0,71.0,23.1,-6.0,0.0,0.0,0.0,2.0,1119.0,321.0,47.0,47.0,0.0,0.0,0.0,603.0,0.0,145.0,0.0,0.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,49.0,29.0,1.0,0.77,179.0
