feature,importance,problem_type
numeric__assessment_submission_ratio_early,0.7230552505218754,binary
numeric__assessment_weighted_score_sum_early,0.06664336359444774,binary
numeric__assessment_score_min_early,0.02716208671720222,binary
numeric__assessment_weighted_score_ratio_early,0.019452966215060666,binary
numeric__early_assessment_weight_expected,0.017776643245094696,binary
numeric__assessment_mean_submission_delay_early,0.017645990244625324,binary
numeric__assessment_type_count_tma_early,0.014841245660175743,binary
numeric__vle_event_count_early,0.01128471349981986,binary
numeric__assessment_score_mean_early,0.007201162166724899,binary
numeric__assessment_score_std_early,0.006588826501857895,binary
numeric__vle_clicks_resource_early,0.006334191177658968,binary
numeric__studied_credits,0.006319186070995245,binary
numeric__early_assessment_count_expected,0.005800766529307029,binary
numeric__assessment_banked_count_early,0.0050845869192779,binary
categorical__region_Wales,0.004258960489525254,binary
numeric__vle_clicks_forumng_early,0.0037064665109508175,binary
categorical__code_presentation_2014J,0.003673512509358112,binary
numeric__vle_clicks_ouwiki_early,0.0033238240962872984,binary
numeric__assessment_score_max_early,0.003111412396694815,binary
numeric__vle_active_days_early,0.003091550510194226,binary
numeric__vle_clicks_url_early,0.002894979249915175,binary
categorical__code_module_BBB,0.0027146185058523962,binary
numeric__registration_lead_days,0.002661410361387206,binary
categorical__highest_education_Lower Than A Level,0.002653381184644718,binary
numeric__vle_clicks_homepage_early,0.002605392969139444,binary
numeric__vle_clicks_subpage_early,0.0024254457159652155,binary
numeric__vle_clicks_quiz_early,0.002326684151482868,binary
numeric__vle_unique_sites_early,0.002123905202322205,binary
categorical__region_Scotland,0.0020866340162724157,binary
numeric__module_presentation_length,0.0018808604170207036,binary
categorical__code_presentation_2013J,0.0018775678602123399,binary
numeric__date_registration,0.0015994582163535455,binary
numeric__vle_clicks_oucontent_early,0.001492938439211034,binary
numeric__vle_total_clicks_early,0.001397167040364277,binary
numeric__vle_clicks_glossary_early,0.0013531576971410675,binary
numeric__vle_clicks_dualpane_early,0.0013078654114222661,binary
numeric__num_of_prev_attempts,0.001159676154970962,binary
numeric__vle_clicks_ouelluminate_early,0.0010056841531760124,binary
numeric__assessment_late_submission_count_early,0.0008495474595036449,binary
categorical__imd_band_40-50%,0.0007920486443999701,binary
categorical__disability_Y,0.0006953835705063202,binary
categorical__region_East Midlands Region,0.0006928808944146536,binary
categorical__imd_band_80-90%,0.0006185335516957458,binary
categorical__region_Yorkshire Region,0.0006142445514814346,binary
categorical__code_presentation_2013B,0.0005793670718429919,binary
numeric__vle_clicks_page_early,0.0005148621116265273,binary
categorical__region_London Region,0.0004728556700285151,binary
categorical__disability_N,0.0003769665340344331,binary
categorical__region_North Region,0.0003748083517363144,binary
categorical__code_module_FFF,0.0003705931977712241,binary
categorical__region_South East Region,0.0003399897784095221,binary
categorical__gender_M,0.0002699364701164097,binary
categorical__region_Ireland,0.0002604524564835672,binary
categorical__gender_F,0.00015278249553435337,binary
categorical__imd_band_10-20,0.00010121486642650848,binary
categorical__code_module_GGG,0.0,binary
numeric__vle_clicks_repeatactivity_early,0.0,binary
categorical__code_presentation_2014B,0.0,binary
numeric__vle_clicks_externalquiz_early,0.0,binary
numeric__vle_clicks_questionnaire_early,0.0,binary
numeric__vle_clicks_sharedsubpage_early,0.0,binary
categorical__code_module_EEE,0.0,binary
categorical__region_East Anglian Region,0.0,binary
categorical__code_module_DDD,0.0,binary
numeric__vle_clicks_oucollaborate_early,0.0,binary
numeric__vle_clicks_htmlactivity_early,0.0,binary
categorical__code_module_CCC,0.0,binary
categorical__region_North Western Region,0.0,binary
categorical__age_band_55<=,0.0,binary
categorical__region_South Region,0.0,binary
categorical__age_band_35-55,0.0,binary
categorical__imd_band_20-30%,0.0,binary
categorical__age_band_0-35,0.0,binary
categorical__imd_band_90-100%,0.0,binary
numeric__assessment_submission_count_early,0.0,binary
categorical__imd_band_70-80%,0.0,binary
categorical__imd_band_60-70%,0.0,binary
categorical__imd_band_50-60%,0.0,binary
categorical__imd_band_30-40%,0.0,binary
categorical__imd_band_0-10%,0.0,binary
numeric__vle_clicks_dataplus_early,0.0,binary
categorical__highest_education_Post Graduate Qualification,0.0,binary
numeric__assessment_type_count_cma_early,0.0,binary
categorical__highest_education_No Formal quals,0.0,binary
categorical__highest_education_HE Qualification,0.0,binary
categorical__highest_education_A Level or Equivalent,0.0,binary
categorical__region_West Midlands Region,0.0,binary
categorical__region_South West Region,0.0,binary
categorical__code_module_AAA,0.0,binary
