feature,importance,problem_type
numeric__assessment_submission_ratio_early,0.6337965388626953,binary
numeric__assessment_score_max_early,0.11174504626239219,binary
numeric__assessment_score_min_early,0.02723735430734743,binary
numeric__assessment_type_count_tma_early,0.020641274837827513,binary
numeric__vle_unique_sites_early,0.01844741809316446,binary
numeric__studied_credits,0.017415240764997897,binary
numeric__early_assessment_weight_expected,0.016155997640165214,binary
numeric__vle_total_clicks_early,0.014104767407512868,binary
numeric__assessment_score_mean_early,0.012839858325208627,binary
numeric__assessment_weighted_score_ratio_early,0.010894316355802292,binary
numeric__assessment_mean_submission_delay_early,0.009398095563436725,binary
categorical__code_module_GGG,0.009081205825079635,binary
numeric__early_assessment_count_expected,0.008924776416076658,binary
numeric__assessment_weighted_score_sum_early,0.008641784788529422,binary
categorical__code_presentation_2014J,0.007889399012660418,binary
numeric__vle_clicks_ouwiki_early,0.005324499441776359,binary
numeric__registration_lead_days,0.004870763206269435,binary
categorical__region_Scotland,0.00486995915565284,binary
categorical__region_Wales,0.004724700497822366,binary
categorical__code_module_CCC,0.004206059732362599,binary
numeric__assessment_type_count_cma_early,0.0037004043883808314,binary
numeric__vle_active_days_early,0.0035083063838536343,binary
numeric__assessment_banked_count_early,0.0034017030879148176,binary
numeric__num_of_prev_attempts,0.0033739214611823096,binary
numeric__date_registration,0.003315831908289372,binary
numeric__vle_event_count_early,0.0026959087526867366,binary
numeric__module_presentation_length,0.002493644246314843,binary
categorical__code_module_BBB,0.002173354340818347,binary
numeric__vle_clicks_url_early,0.0017358038346145274,binary
numeric__vle_clicks_htmlactivity_early,0.0015770087819225588,binary
categorical__code_presentation_2013J,0.0015033057749592378,binary
numeric__assessment_score_std_early,0.0012009230524659914,binary
numeric__vle_clicks_oucontent_early,0.0011744388728590978,binary
numeric__vle_clicks_forumng_early,0.0011608087066730672,binary
numeric__vle_clicks_quiz_early,0.0011178449404654106,binary
numeric__vle_clicks_homepage_early,0.0010720366679157008,binary
categorical__code_module_FFF,0.0010521495731371066,binary
numeric__vle_clicks_subpage_early,0.0010440320158400314,binary
categorical__code_module_DDD,0.000976656227885698,binary
numeric__vle_clicks_externalquiz_early,0.0009655046386120065,binary
categorical__disability_Y,0.0008224167673322014,binary
categorical__highest_education_Lower Than A Level,0.0007765973793920672,binary
numeric__vle_clicks_resource_early,0.0007734646070828653,binary
categorical__region_Ireland,0.0006901083310436073,binary
numeric__vle_clicks_page_early,0.0006795875621082422,binary
categorical__code_presentation_2013B,0.0006676347614946925,binary
categorical__disability_N,0.0006202435223544858,binary
categorical__region_East Midlands Region,0.00047196317419764133,binary
categorical__age_band_35-55,0.00045798049096976547,binary
numeric__vle_clicks_dualpane_early,0.00041432014410682893,binary
categorical__region_South Region,0.0003803810104806929,binary
numeric__vle_clicks_ouelluminate_early,0.0003075865942648143,binary
categorical__gender_M,0.0002613126958886114,binary
categorical__code_module_EEE,0.00020587672914890924,binary
categorical__imd_band_80-90%,0.00017109791924845746,binary
numeric__assessment_submission_count_early,0.0001673782332231971,binary
categorical__region_South West Region,0.0001505641358162551,binary
categorical__highest_education_A Level or Equivalent,0.00014690840186476413,binary
numeric__vle_clicks_glossary_early,0.00012607378159712712,binary
categorical__age_band_0-35,0.00012105047341405367,binary
numeric__assessment_late_submission_count_early,0.00011713464382628357,binary
categorical__code_module_AAA,0.0001084990692509691,binary
categorical__imd_band_50-60%,9.998833468485654e-05,binary
categorical__imd_band_10-20,9.855656535210448e-05,binary
numeric__vle_clicks_oucollaborate_early,8.929959137643445e-05,binary
categorical__imd_band_0-10%,8.14838363418805e-05,binary
categorical__gender_F,7.743463898650693e-05,binary
categorical__imd_band_60-70%,7.272782254115794e-05,binary
categorical__imd_band_30-40%,7.231111605171375e-05,binary
categorical__imd_band_90-100%,5.7386760524790174e-05,binary
categorical__region_South East Region,5.586695876776004e-05,binary
categorical__age_band_55<=,5.317305284705677e-05,binary
categorical__region_West Midlands Region,5.18722172448871e-05,binary
categorical__imd_band_70-80%,4.603923666594389e-05,binary
categorical__region_East Anglian Region,2.7560243599036244e-05,binary
categorical__region_Yorkshire Region,2.5475043337720717e-05,binary
categorical__code_presentation_2014B,0.0,binary
numeric__vle_clicks_sharedsubpage_early,0.0,binary
numeric__vle_clicks_repeatactivity_early,0.0,binary
categorical__highest_education_Post Graduate Qualification,0.0,binary
numeric__vle_clicks_questionnaire_early,0.0,binary
categorical__region_London Region,0.0,binary
categorical__region_North Region,0.0,binary
categorical__highest_education_No Formal quals,0.0,binary
categorical__imd_band_40-50%,0.0,binary
categorical__imd_band_20-30%,0.0,binary
numeric__vle_clicks_dataplus_early,0.0,binary
categorical__highest_education_HE Qualification,0.0,binary
categorical__region_North Western Region,0.0,binary
