feature,importance,problem_type
categorical__code_module_GGG,2.5152981283507763,binary
categorical__code_module_CCC,1.0978150372755897,binary
numeric__assessment_weighted_score_ratio_early,0.9152240495314811,binary
numeric__assessment_score_min_early,0.7647303306223003,binary
numeric__assessment_submission_ratio_early,0.7389866922041061,binary
categorical__code_module_DDD,0.6895373379000932,binary
categorical__code_module_FFF,0.579821140368457,binary
categorical__code_presentation_2013J,0.5663611492748557,binary
numeric__module_presentation_length,0.4475037764848042,binary
categorical__code_presentation_2014B,0.42461261621049695,binary
numeric__assessment_score_mean_early,0.3863049639694038,binary
categorical__code_presentation_2013B,0.3351909582168123,binary
numeric__vle_unique_sites_early,0.31955429175987643,binary
numeric__vle_total_clicks_early,0.3126249609308002,binary
categorical__code_presentation_2014J,0.29947455953346963,binary
numeric__assessment_late_submission_count_early,0.2678849335892044,binary
numeric__assessment_score_max_early,0.24282731020322537,binary
numeric__assessment_type_count_tma_early,0.23533622127972337,binary
numeric__early_assessment_count_expected,0.22119820299229584,binary
categorical__region_East Midlands Region,0.22061761562593138,binary
numeric__assessment_score_std_early,0.2109007765489628,binary
numeric__assessment_type_count_cma_early,0.20755178595601492,binary
categorical__region_Wales,0.1984910919490678,binary
categorical__region_Scotland,0.19471630115210167,binary
numeric__studied_credits,0.19289639342484186,binary
categorical__disability_N,0.19200524213805292,binary
numeric__vle_clicks_page_early,0.17743565419923152,binary
categorical__gender_M,0.1710951309825825,binary
numeric__assessment_banked_count_early,0.162326246472421,binary
numeric__vle_clicks_forumng_early,0.15994719409839936,binary
categorical__code_module_EEE,0.15887451453286822,binary
numeric__vle_clicks_ouwiki_early,0.14684442612545923,binary
numeric__vle_active_days_early,0.14480433601125037,binary
categorical__highest_education_A Level or Equivalent,0.12179831136349696,binary
categorical__imd_band_50-60%,0.11649305899981204,binary
numeric__num_of_prev_attempts,0.11540407604324494,binary
categorical__code_module_AAA,0.11397114590885896,binary
numeric__vle_clicks_resource_early,0.11367287550118639,binary
numeric__vle_clicks_url_early,0.10754901912148167,binary
categorical__region_Ireland,0.10507122806305352,binary
categorical__region_West Midlands Region,0.10061417581817467,binary
categorical__age_band_0-35,0.09166464688143833,binary
numeric__vle_clicks_dualpane_early,0.08744235051939034,binary
categorical__disability_Y,0.08597310775702738,binary
categorical__region_London Region,0.08232625023058132,binary
categorical__region_South Region,0.07660197807689323,binary
categorical__region_North Region,0.07556683180760092,binary
categorical__imd_band_60-70%,0.07071018296723346,binary
numeric__assessment_submission_count_early,0.06920411121086555,binary
categorical__gender_F,0.06506299660156671,binary
numeric__early_assessment_weight_expected,0.06482550344191014,binary
numeric__date_registration,0.06381343875723432,binary
numeric__registration_lead_days,0.06381343875723332,binary
numeric__assessment_mean_submission_delay_early,0.06095165284118726,binary
numeric__vle_clicks_externalquiz_early,0.05782121188834101,binary
numeric__vle_clicks_oucontent_early,0.05771204954636989,binary
categorical__age_band_55<=,0.05764263127803203,binary
numeric__vle_event_count_early,0.05248295728091068,binary
categorical__highest_education_HE Qualification,0.04735636044777134,binary
numeric__vle_clicks_oucollaborate_early,0.046583235113115906,binary
categorical__imd_band_20-30%,0.04449391600924571,binary
categorical__imd_band_90-100%,0.04420664995533367,binary
categorical__age_band_35-55,0.04327514377844892,binary
categorical__region_South East Region,0.04148339403392571,binary
categorical__region_East Anglian Region,0.04033719944620662,binary
numeric__vle_clicks_homepage_early,0.03577745155998122,binary
categorical__highest_education_Post Graduate Qualification,0.03347989209586723,binary
categorical__imd_band_10-20,0.029937673123160903,binary
numeric__assessment_weighted_score_sum_early,0.029687452682407866,binary
numeric__vle_clicks_htmlactivity_early,0.02845398246527098,binary
categorical__highest_education_Lower Than A Level,0.028314281154177792,binary
categorical__imd_band_70-80%,0.023615867863816975,binary
numeric__vle_clicks_ouelluminate_early,0.021054855782831144,binary
numeric__vle_clicks_quiz_early,0.019880982401945156,binary
categorical__region_South West Region,0.01769296090997172,binary
numeric__vle_clicks_questionnaire_early,0.017330756822325676,binary
categorical__region_North Western Region,0.017105568695881253,binary
numeric__vle_clicks_glossary_early,0.01035153188161186,binary
categorical__imd_band_0-10%,0.008917605660525914,binary
categorical__imd_band_80-90%,0.008871036691196606,binary
categorical__imd_band_30-40%,0.008249107386818359,binary
categorical__code_module_BBB,0.0028108901983989777,binary
categorical__imd_band_40-50%,0.002556551549525592,binary
categorical__highest_education_No Formal quals,0.0013283641802058763,binary
numeric__vle_clicks_subpage_early,0.0008361103051781624,binary
categorical__region_Yorkshire Region,0.0005614511166266014,binary
numeric__vle_clicks_dataplus_early,0.0,binary
numeric__vle_clicks_repeatactivity_early,0.0,binary
numeric__vle_clicks_sharedsubpage_early,0.0,binary
