feature,importance,problem_type
numeric__assessment_submission_ratio_early,0.06817286912656763,binary
numeric__assessment_score_max_early,0.06343751485931486,binary
numeric__assessment_weighted_score_ratio_early,0.06053034962764466,binary
numeric__assessment_score_mean_early,0.052317585042164716,binary
numeric__assessment_score_min_early,0.04952463446245464,binary
numeric__assessment_weighted_score_sum_early,0.044745822383600996,binary
numeric__assessment_type_count_tma_early,0.04462097747283947,binary
numeric__assessment_submission_count_early,0.03757475521824516,binary
numeric__assessment_score_std_early,0.03627780293842158,binary
numeric__vle_clicks_homepage_early,0.0313920269128969,binary
numeric__vle_total_clicks_early,0.030378016723022202,binary
numeric__vle_event_count_early,0.029283450747435297,binary
numeric__vle_active_days_early,0.027713074339322016,binary
numeric__assessment_mean_submission_delay_early,0.026128686240422822,binary
numeric__vle_clicks_forumng_early,0.024389505728386166,binary
numeric__vle_unique_sites_early,0.0243573213466941,binary
numeric__vle_clicks_oucontent_early,0.024216553023264455,binary
numeric__date_registration,0.023708872382252714,binary
numeric__registration_lead_days,0.023529200083616985,binary
numeric__vle_clicks_subpage_early,0.023170341300816952,binary
numeric__vle_clicks_resource_early,0.022722430440490344,binary
numeric__vle_clicks_quiz_early,0.01682723762104417,binary
numeric__vle_clicks_url_early,0.015815411657619637,binary
numeric__studied_credits,0.014751212208811827,binary
numeric__early_assessment_weight_expected,0.01408593438601534,binary
numeric__early_assessment_count_expected,0.01205446068689048,binary
numeric__vle_clicks_ouwiki_early,0.00829412629956834,binary
numeric__module_presentation_length,0.007845669953736697,binary
categorical__code_module_GGG,0.007188812212951639,binary
numeric__vle_clicks_oucollaborate_early,0.006479528556055528,binary
numeric__vle_clicks_page_early,0.00592536884602217,binary
numeric__assessment_late_submission_count_early,0.005780211611736849,binary
categorical__highest_education_Lower Than A Level,0.0045206728461991965,binary
categorical__highest_education_A Level or Equivalent,0.003909845937132815,binary
numeric__assessment_type_count_cma_early,0.003879454971317444,binary
numeric__num_of_prev_attempts,0.003789233467359199,binary
numeric__vle_clicks_externalquiz_early,0.0036477500082019794,binary
numeric__vle_clicks_glossary_early,0.003604053002692971,binary
categorical__age_band_35-55,0.0033835665043466753,binary
categorical__age_band_0-35,0.0032428419206392803,binary
categorical__code_presentation_2014J,0.0032066930920078797,binary
categorical__gender_M,0.0032031871926944296,binary
categorical__gender_F,0.003197475300464596,binary
categorical__region_Scotland,0.0031226548869609447,binary
categorical__code_presentation_2013J,0.0030773373923952897,binary
categorical__region_Wales,0.0030348278302917957,binary
categorical__code_presentation_2014B,0.002786363117045802,binary
categorical__code_module_BBB,0.00270992727139503,binary
categorical__imd_band_20-30%,0.002642565072182294,binary
categorical__imd_band_0-10%,0.002402201801625688,binary
categorical__imd_band_10-20,0.0023647926219326496,binary
numeric__vle_clicks_ouelluminate_early,0.002349295726789537,binary
numeric__vle_clicks_dualpane_early,0.002289897277040482,binary
numeric__vle_clicks_questionnaire_early,0.0021462667698230035,binary
categorical__disability_N,0.002114469164242166,binary
categorical__imd_band_30-40%,0.0021136506631189134,binary
categorical__disability_Y,0.002052562231210545,binary
categorical__highest_education_HE Qualification,0.002039130728797816,binary
categorical__imd_band_50-60%,0.002008521345895627,binary
categorical__code_module_CCC,0.001998651818033249,binary
categorical__imd_band_40-50%,0.0019024752609112384,binary
categorical__code_module_DDD,0.0018967874514398263,binary
categorical__region_London Region,0.001892191931777613,binary
categorical__region_South Region,0.0018350237369789536,binary
categorical__region_West Midlands Region,0.0018326827910255512,binary
categorical__code_module_FFF,0.0018225298026056662,binary
categorical__region_East Anglian Region,0.0018152544766579602,binary
categorical__code_presentation_2013B,0.0017822185174528916,binary
categorical__region_North Western Region,0.0017513320885722582,binary
numeric__vle_clicks_htmlactivity_early,0.0017124989368160148,binary
categorical__imd_band_60-70%,0.001664353052291839,binary
categorical__imd_band_70-80%,0.0016295596069219205,binary
categorical__imd_band_80-90%,0.001551307724828597,binary
categorical__region_East Midlands Region,0.0015455671424768082,binary
categorical__region_South West Region,0.001527793283533286,binary
categorical__imd_band_90-100%,0.0014107077370300815,binary
categorical__region_North Region,0.0014083370385682904,binary
categorical__region_Yorkshire Region,0.0013853306368818194,binary
categorical__region_South East Region,0.0012982213224663186,binary
numeric__assessment_banked_count_early,0.001162958828462507,binary
categorical__code_module_EEE,0.001108791396616192,binary
categorical__region_Ireland,0.0009651317673196219,binary
categorical__code_module_AAA,0.00044611680206974437,binary
categorical__highest_education_No Formal quals,0.00034236471092469016,binary
categorical__highest_education_Post Graduate Qualification,0.00014262094959772715,binary
categorical__age_band_55<=,9.018860360794174e-05,binary
numeric__vle_clicks_repeatactivity_early,0.0,binary
numeric__vle_clicks_sharedsubpage_early,0.0,binary
numeric__vle_clicks_dataplus_early,0.0,binary
