feature,importance,problem_type
numeric__Curricular units 1st sem (approved),0.5578280840500472,binary
categorical__Tuition fees up to date_1,0.1006961653007012,binary
numeric__Curricular units 1st sem (enrolled),0.04481869831739388,binary
numeric__Age at enrollment,0.04043596136304492,binary
numeric__Curricular units 1st sem (grade),0.039334701769029166,binary
categorical__Tuition fees up to date_0,0.03878519720063117,binary
numeric__Admission grade,0.029668778970389196,binary
numeric__Unemployment rate,0.024752545786488202,binary
categorical__Gender_0,0.015080654266497504,binary
categorical__Debtor_1,0.014140015601718061,binary
numeric__Previous qualification (grade),0.011194534233172054,binary
numeric__Curricular units 1st sem (evaluations),0.011008028899419577,binary
numeric__GDP,0.01039109651402855,binary
numeric__Application order,0.008873529607560847,binary
categorical__Scholarship holder_1,0.008045822328887729,binary
categorical__Course_9853,0.007140401133165743,binary
categorical__Scholarship holder_0,0.00577456566756939,binary
categorical__Father's qualification_2,0.004180064890375498,binary
categorical__Mother's occupation_0,0.0036957093372818267,binary
categorical__Father's qualification_37,0.0033701686142860363,binary
categorical__Mother's occupation_9,0.0031403684549357602,binary
categorical__Course_9147,0.002733763509549384,binary
categorical__Course_9670,0.002668067595006361,binary
categorical__Application mode_1,0.0023182788301429496,binary
categorical__Father's qualification_19,0.0022974660597934083,binary
numeric__Inflation rate,0.0020002455776928123,binary
categorical__Application mode_43,0.0019671341009273088,binary
categorical__Father's occupation_9,0.0014531771409256908,binary
categorical__Application mode_39,0.0008470714088371919,binary
categorical__Course_9003,0.0005614160866788047,binary
categorical__Mother's occupation_4,0.0003802702413016871,binary
categorical__Father's qualification_38,0.0003669052124731971,binary
categorical__Marital Status_2,5.1111930047515536e-05,binary
categorical__International_0,0.0,binary
categorical__Mother's occupation_193,0.0,binary
categorical__Mother's occupation_175,0.0,binary
categorical__Mother's occupation_192,0.0,binary
categorical__Mother's occupation_191,0.0,binary
categorical__Mother's occupation_2,0.0,binary
categorical__Mother's occupation_171,0.0,binary
categorical__Mother's occupation_153,0.0,binary
categorical__Mother's occupation_152,0.0,binary
categorical__Mother's occupation_194,0.0,binary
categorical__Mother's occupation_5,0.0,binary
categorical__Mother's occupation_3,0.0,binary
categorical__Mother's occupation_144,0.0,binary
categorical__Mother's occupation_6,0.0,binary
categorical__Mother's occupation_7,0.0,binary
categorical__Mother's occupation_8,0.0,binary
categorical__Mother's occupation_90,0.0,binary
categorical__Mother's occupation_99,0.0,binary
categorical__Father's occupation_0,0.0,binary
categorical__Mother's occupation_151,0.0,binary
categorical__Mother's occupation_125,0.0,binary
categorical__Mother's occupation_143,0.0,binary
categorical__Father's qualification_9,0.0,binary
categorical__Father's qualification_39,0.0,binary
categorical__Father's qualification_4,0.0,binary
categorical__Father's qualification_40,0.0,binary
categorical__Father's qualification_41,0.0,binary
categorical__Father's qualification_43,0.0,binary
categorical__Father's qualification_44,0.0,binary
categorical__Father's qualification_5,0.0,binary
categorical__Father's qualification_6,0.0,binary
numeric__Curricular units 1st sem (without evaluations),0.0,binary
categorical__Mother's occupation_141,0.0,binary
categorical__Mother's occupation_1,0.0,binary
categorical__Mother's occupation_10,0.0,binary
categorical__Mother's occupation_122,0.0,binary
categorical__Mother's occupation_123,0.0,binary
categorical__Father's occupation_10,0.0,binary
categorical__Mother's occupation_131,0.0,binary
categorical__Mother's occupation_132,0.0,binary
categorical__Mother's occupation_134,0.0,binary
categorical__Father's occupation_1,0.0,binary
categorical__Father's occupation_112,0.0,binary
categorical__Father's occupation_101,0.0,binary
categorical__Father's occupation_7,0.0,binary
categorical__Father's occupation_192,0.0,binary
categorical__Father's occupation_193,0.0,binary
categorical__Father's occupation_194,0.0,binary
categorical__Father's occupation_195,0.0,binary
categorical__Father's occupation_2,0.0,binary
categorical__Father's occupation_3,0.0,binary
categorical__Father's occupation_4,0.0,binary
categorical__Father's occupation_5,0.0,binary
categorical__Father's occupation_6,0.0,binary
categorical__Father's occupation_8,0.0,binary
categorical__Father's occupation_182,0.0,binary
categorical__Father's occupation_90,0.0,binary
categorical__Father's occupation_99,0.0,binary
categorical__Displaced_0,0.0,binary
categorical__Displaced_1,0.0,binary
categorical__Educational special needs_0,0.0,binary
categorical__Educational special needs_1,0.0,binary
categorical__Debtor_0,0.0,binary
numeric__Curricular units 1st sem (credited),0.0,binary
categorical__International_1,0.0,binary
categorical__Father's occupation_183,0.0,binary
categorical__Father's occupation_181,0.0,binary
categorical__Father's occupation_102,0.0,binary
categorical__Father's occupation_135,0.0,binary
categorical__Father's occupation_103,0.0,binary
categorical__Gender_1,0.0,binary
categorical__Father's occupation_121,0.0,binary
categorical__Father's occupation_122,0.0,binary
categorical__Father's occupation_123,0.0,binary
categorical__Father's occupation_124,0.0,binary
categorical__Father's occupation_131,0.0,binary
categorical__Father's occupation_132,0.0,binary
categorical__Father's occupation_134,0.0,binary
categorical__Father's occupation_143,0.0,binary
categorical__Father's occupation_175,0.0,binary
categorical__Father's qualification_36,0.0,binary
categorical__Father's occupation_151,0.0,binary
categorical__Father's occupation_152,0.0,binary
categorical__Father's occupation_154,0.0,binary
categorical__Father's occupation_161,0.0,binary
categorical__Father's occupation_163,0.0,binary
