feature,importance,problem_type
numeric__Curricular units 1st sem (approved),0.49958132757361823,binary
categorical__Tuition fees up to date_1,0.0919173730791286,binary
categorical__Tuition fees up to date_0,0.05555608384402777,binary
numeric__Curricular units 1st sem (enrolled),0.050490793948897876,binary
numeric__Age at enrollment,0.04897845790081942,binary
numeric__Curricular units 1st sem (grade),0.03908275419999283,binary
numeric__Curricular units 1st sem (evaluations),0.013396583746611053,binary
numeric__Previous qualification (grade),0.012385358536877207,binary
categorical__Course_9853,0.010838913517328734,binary
numeric__GDP,0.010420515240116886,binary
numeric__Admission grade,0.0098628951411759,binary
categorical__Debtor_1,0.009516389463036958,binary
categorical__Scholarship holder_1,0.008933223785588223,binary
categorical__Mother's occupation_0,0.008754497243051154,binary
categorical__Debtor_0,0.008416813232373631,binary
numeric__Unemployment rate,0.007802488317769562,binary
categorical__Course_171,0.007292594046806263,binary
categorical__Mother's qualification_34,0.006285546727310862,binary
categorical__Gender_0,0.006088527180253325,binary
numeric__Curricular units 1st sem (credited),0.005474592175951434,binary
categorical__Scholarship holder_0,0.004977017156513547,binary
categorical__Mother's occupation_191,0.0045213880393445306,binary
categorical__Course_9130,0.004239237929462501,binary
categorical__Father's qualification_34,0.0035504230214834713,binary
categorical__Gender_1,0.0027407238816965418,binary
categorical__Course_9254,0.0026929781321049185,binary
categorical__Mother's qualification_12,0.0025760213475515973,binary
categorical__Course_9238,0.0024930707018439137,binary
categorical__Previous qualification_4,0.0022709857300845463,binary
categorical__Application mode_43,0.0022135547095936273,binary
categorical__Father's occupation_90,0.002208822773847723,binary
categorical__Mother's occupation_8,0.002117946174095972,binary
numeric__Curricular units 1st sem (without evaluations),0.0019983136204005177,binary
categorical__Nacionality_26,0.0018456464078543198,binary
categorical__Father's qualification_22,0.0018079094415990931,binary
categorical__Father's qualification_40,0.0018051616139131439,binary
categorical__Course_9119,0.0017971481110967901,binary
categorical__Application mode_42,0.0017010343309311667,binary
categorical__Application mode_7,0.0014989577951681672,binary
categorical__Application mode_17,0.0014418315119753469,binary
categorical__Displaced_1,0.001417888135056877,binary
categorical__Nacionality_109,0.0013812213309763466,binary
