feature,importance,problem_type
numeric__Curricular units 1st sem (approved),2.190718454317889,binary
categorical__Mother's occupation_191,1.7221793210528231,binary
categorical__Mother's occupation_0,1.4334299153537478,binary
categorical__Course_9853,1.3018210898795537,binary
categorical__Father's qualification_22,1.2790761636483134,binary
categorical__Father's occupation_90,1.2782095995360088,binary
categorical__Mother's qualification_4,1.255454963679358,binary
categorical__Tuition fees up to date_1,1.2249493950455903,binary
categorical__Tuition fees up to date_0,1.2033892145902025,binary
categorical__Nacionality_109,1.172831111721572,binary
categorical__Mother's occupation_8,1.171772172580658,binary
categorical__Mother's qualification_34,1.0922649501289772,binary
categorical__Course_171,1.0661885250952563,binary
categorical__Application mode_15,1.029135505984501,binary
categorical__Nacionality_26,1.0212421573463528,binary
categorical__Previous qualification_2,0.9908262517969428,binary
numeric__Curricular units 1st sem (enrolled),0.8784691961352517,binary
categorical__Course_9130,0.8756116394650665,binary
categorical__Father's occupation_163,0.8629951070182094,binary
categorical__Previous qualification_4,0.8084403576849645,binary
categorical__Father's qualification_40,0.7942923473049895,binary
categorical__Course_9003,0.7712510956286792,binary
categorical__Father's occupation_4,0.728315601220275,binary
categorical__Father's occupation_9,0.7016290240437668,binary
categorical__Nacionality_41,0.6958785675773363,binary
categorical__Mother's occupation_90,0.6911287349700098,binary
categorical__Previous qualification_12,0.6857860924169702,binary
categorical__Mother's qualification_40,0.6811980914053343,binary
categorical__Father's occupation_123,0.680256657617684,binary
categorical__Father's occupation_171,0.6686197520101455,binary
categorical__Mother's occupation_144,0.6664345929692533,binary
categorical__Course_9254,0.6595266115539774,binary
categorical__Mother's qualification_12,0.6485549386265645,binary
categorical__Father's qualification_31,0.6172834057040403,binary
categorical__Mother's occupation_134,0.6166627566993849,binary
categorical__Mother's qualification_9,0.5746131866080623,binary
categorical__Nacionality_6,0.5672676902098279,binary
categorical__Mother's occupation_123,0.5663056251335454,binary
categorical__Mother's occupation_192,0.5635873491211149,binary
categorical__Nacionality_25,0.5581516346563811,binary
categorical__Application mode_5,0.5563907652475524,binary
categorical__Father's qualification_9,0.5546840560723056,binary
categorical__Mother's qualification_2,0.550550592395151,binary
categorical__Father's occupation_134,0.5383838463202282,binary
categorical__Father's qualification_10,0.5351480743820981,binary
categorical__Father's qualification_30,0.5343380625459978,binary
categorical__Father's occupation_10,0.5261476118740226,binary
categorical__Father's qualification_11,0.516317214907924,binary
numeric__Curricular units 1st sem (credited),0.5031489845575693,binary
