feature,importance,problem_type
numeric__Curricular units 1st sem (approved),0.16354268597548202,binary
numeric__Curricular units 1st sem (grade),0.11078003755491699,binary
numeric__Age at enrollment,0.05245570012366484,binary
categorical__Tuition fees up to date_1,0.051043400878667246,binary
categorical__Tuition fees up to date_0,0.04771895167628058,binary
numeric__Curricular units 1st sem (evaluations),0.046233989739670946,binary
numeric__Admission grade,0.036119904571755214,binary
numeric__Previous qualification (grade),0.031198350825475826,binary
numeric__Curricular units 1st sem (enrolled),0.0240753249902572,binary
categorical__Scholarship holder_1,0.02049380112759369,binary
numeric__GDP,0.02022768839476887,binary
numeric__Unemployment rate,0.020121345168718743,binary
categorical__Scholarship holder_0,0.01978332907059937,binary
numeric__Inflation rate,0.018724867556331747,binary
categorical__Debtor_0,0.016016622486853913,binary
categorical__Debtor_1,0.015909504622904993,binary
categorical__Application mode_1,0.013182331425452453,binary
categorical__Gender_0,0.013120647923218369,binary
categorical__Gender_1,0.013117029807327757,binary
numeric__Application order,0.010512359576130205,binary
categorical__Application mode_39,0.009929022944940516,binary
numeric__Curricular units 1st sem (credited),0.008544721257547452,binary
categorical__Course_9500,0.007840952634490332,binary
categorical__Displaced_1,0.006689434535494212,binary
categorical__Displaced_0,0.006505590408927791,binary
categorical__Mother's occupation_9,0.006471403198516234,binary
categorical__Father's qualification_37,0.005554671314084035,binary
categorical__Course_9853,0.005528026253495357,binary
categorical__Father's qualification_19,0.005506264700123193,binary
categorical__Mother's qualification_34,0.005486483897357106,binary
categorical__Father's occupation_9,0.005380632656202884,binary
categorical__Mother's qualification_1,0.005209036848691399,binary
categorical__Father's qualification_1,0.005142427758733373,binary
categorical__Application mode_17,0.005109055096524976,binary
categorical__Previous qualification_1,0.0049705605019371366,binary
categorical__Mother's qualification_19,0.004952288129646814,binary
categorical__Mother's occupation_4,0.004871898839700216,binary
categorical__Mother's occupation_0,0.004841833259670225,binary
categorical__Course_171,0.004824195999876982,binary
categorical__Mother's qualification_37,0.00481262568257607,binary
categorical__Father's qualification_38,0.004797475992067509,binary
numeric__Curricular units 1st sem (without evaluations),0.00447533431811182,binary
categorical__Course_9238,0.003807838576219751,binary
categorical__Mother's occupation_5,0.003806846966224607,binary
categorical__Father's occupation_7,0.0036784841562914243,binary
categorical__Father's occupation_4,0.0036492133040027246,binary
categorical__Course_9085,0.003569168256116025,binary
categorical__Father's occupation_3,0.0034945194760905474,binary
categorical__Course_9773,0.003470361696480804,binary
categorical__Mother's qualification_38,0.0034630691701659213,binary
categorical__Course_9130,0.003428323050161799,binary
categorical__Father's occupation_5,0.003402233345739952,binary
categorical__Mother's occupation_3,0.0033103239323841894,binary
categorical__Mother's qualification_3,0.0032997748165867857,binary
categorical__Course_9119,0.0032736076578025928,binary
categorical__Course_9254,0.0032594469466069504,binary
categorical__Course_9147,0.0032435882760825873,binary
categorical__Father's qualification_34,0.0031745791847381474,binary
categorical__Application mode_43,0.002773539284220353,binary
categorical__Mother's occupation_2,0.0027151545265343027,binary
categorical__Father's occupation_0,0.002684098147806922,binary
categorical__Marital Status_1,0.002496541271997763,binary
categorical__Father's qualification_3,0.0024961270678895086,binary
categorical__Daytime/evening attendance_1,0.0024957929441780887,binary
categorical__Daytime/evening attendance_0,0.002494796572521481,binary
categorical__Application mode_7,0.0022737594192519506,binary
categorical__Father's occupation_8,0.0022423107766618056,binary
categorical__Course_9991,0.0022189281255892064,binary
categorical__Father's occupation_10,0.0021260258478857244,binary
categorical__Course_9670,0.0020976598842533233,binary
categorical__Father's occupation_6,0.00209250083823527,binary
categorical__Father's occupation_2,0.0019951707025996496,binary
categorical__Marital Status_2,0.0019335161373403565,binary
categorical__Mother's occupation_7,0.0018321258309767045,binary
categorical__Previous qualification_19,0.0017275415289542862,binary
categorical__Course_9070,0.0017271481670668128,binary
categorical__Course_8014,0.0016635519021270487,binary
categorical__Father's qualification_2,0.0016115705857482187,binary
categorical__Course_9003,0.0015034163192375518,binary
categorical__Father's occupation_1,0.0014702786029511105,binary
categorical__Previous qualification_3,0.0014503815287004486,binary
categorical__Previous qualification_39,0.0014496530919365937,binary
categorical__Application mode_44,0.001342539973346726,binary
categorical__Application mode_18,0.0011933483753938418,binary
categorical__Mother's occupation_90,0.0011195619715662082,binary
categorical__Course_9556,0.0010012433486418552,binary
categorical__Application mode_51,0.000963586097881735,binary
categorical__Mother's qualification_12,0.0009205529317568976,binary
categorical__Father's occupation_90,0.0009039362010110763,binary
categorical__Application mode_42,0.0008590778173108499,binary
categorical__Mother's qualification_2,0.0008326875798915323,binary
categorical__Mother's occupation_6,0.0008114133565017566,binary
categorical__International_1,0.0007662710130564676,binary
categorical__Nacionality_1,0.000757713519342647,binary
categorical__International_0,0.000711987241606045,binary
categorical__Mother's occupation_8,0.0007018916484828675,binary
categorical__Marital Status_4,0.0006899320011199765,binary
categorical__Previous qualification_40,0.0006432816582800158,binary
categorical__Mother's occupation_191,0.0006234424303712445,binary
categorical__Mother's occupation_1,0.0006037800638337325,binary
categorical__Application mode_15,0.0005314000466926202,binary
categorical__Application mode_53,0.0005055628809755736,binary
categorical__Educational special needs_1,0.00043736109704803697,binary
categorical__Father's qualification_4,0.0004344023085625958,binary
categorical__Previous qualification_42,0.0004152521052049688,binary
categorical__Previous qualification_2,0.00040539300934769345,binary
categorical__Mother's qualification_40,0.0003913391686166489,binary
categorical__Application mode_16,0.00037593547008320764,binary
categorical__Educational special needs_0,0.0003668934375266742,binary
categorical__Father's qualification_12,0.0003159892698359152,binary
categorical__Mother's qualification_4,0.0002959515719971826,binary
categorical__Previous qualification_12,0.0002815727387295072,binary
categorical__Father's qualification_39,0.0002403454754303836,binary
categorical__Marital Status_5,0.00020244829920146553,binary
categorical__Nacionality_26,0.0001994770504439439,binary
categorical__Mother's qualification_5,0.00017172658380932283,binary
categorical__Previous qualification_4,0.00015929976003108668,binary
categorical__Mother's qualification_9,0.00015923306511646785,binary
categorical__Father's qualification_5,0.00013903054905763912,binary
categorical__Father's occupation_99,0.0001366931134763628,binary
categorical__Application mode_5,0.0001355336373678222,binary
categorical__Father's qualification_22,0.00012354475036091084,binary
categorical__Father's occupation_193,0.00011958716244873328,binary
categorical__Nacionality_41,0.00011306365779543482,binary
categorical__Mother's occupation_194,9.910736793918257e-05,binary
categorical__Mother's occupation_99,8.227285444466249e-05,binary
categorical__Father's qualification_40,7.776912143647785e-05,binary
