feature,importance,problem_type
numeric__Curricular units 1st sem (approved),0.08156924,binary
categorical__Tuition fees up to date_1,0.06473496,binary
categorical__Tuition fees up to date_0,0.063805364,binary
categorical__Course_171,0.03169121,binary
categorical__Debtor_1,0.019117283,binary
categorical__Scholarship holder_0,0.017724244,binary
categorical__Debtor_0,0.015437745,binary
numeric__Curricular units 1st sem (grade),0.014995651,binary
numeric__Curricular units 1st sem (enrolled),0.0145962825,binary
categorical__Course_9853,0.014117749,binary
categorical__Scholarship holder_1,0.014076238,binary
categorical__Mother's occupation_0,0.012647396,binary
numeric__Age at enrollment,0.012508051,binary
categorical__Mother's qualification_34,0.012262193,binary
categorical__Father's qualification_34,0.011701647,binary
categorical__Gender_0,0.010822071,binary
categorical__Course_9130,0.010772256,binary
categorical__Course_9991,0.0096131265,binary
categorical__Course_9147,0.009397419,binary
categorical__Course_9085,0.00918597,binary
categorical__Application mode_1,0.008869846,binary
categorical__Application mode_7,0.008680859,binary
categorical__Application mode_15,0.008670818,binary
categorical__Application mode_53,0.008549291,binary
categorical__Course_9238,0.008436622,binary
categorical__Father's qualification_38,0.008428917,binary
categorical__Mother's qualification_2,0.008376007,binary
categorical__Mother's qualification_12,0.00833328,binary
categorical__Father's qualification_37,0.008323315,binary
categorical__Course_9254,0.008282658,binary
numeric__GDP,0.008142478,binary
numeric__Curricular units 1st sem (credited),0.00803664,binary
categorical__Father's qualification_2,0.007977178,binary
categorical__Displaced_1,0.00795426,binary
categorical__Father's occupation_1,0.00794145,binary
categorical__Previous qualification_3,0.007835562,binary
categorical__Father's occupation_4,0.007804539,binary
categorical__Application mode_18,0.007790686,binary
categorical__Mother's occupation_191,0.007641101,binary
numeric__Curricular units 1st sem (evaluations),0.0074550053,binary
numeric__Curricular units 1st sem (without evaluations),0.0074429163,binary
categorical__Father's occupation_10,0.0073651974,binary
categorical__Nacionality_1,0.007353884,binary
categorical__Course_9556,0.0073454385,binary
categorical__Father's occupation_6,0.007289552,binary
categorical__Mother's occupation_7,0.0071740313,binary
categorical__Father's qualification_1,0.007124585,binary
categorical__Course_9003,0.007014639,binary
categorical__Mother's qualification_38,0.0069384137,binary
categorical__Course_9500,0.006931793,binary
categorical__Displaced_0,0.0068390295,binary
categorical__Gender_1,0.006761093,binary
categorical__Mother's qualification_19,0.006750914,binary
categorical__Application mode_43,0.0067195604,binary
categorical__Application mode_51,0.006615485,binary
numeric__Unemployment rate,0.006556198,binary
categorical__Father's occupation_9,0.0065447614,binary
numeric__Previous qualification (grade),0.0065430882,binary
categorical__Mother's qualification_37,0.0064917565,binary
categorical__Father's qualification_5,0.006462377,binary
categorical__Father's occupation_5,0.0064061848,binary
categorical__Application mode_39,0.006346879,binary
categorical__Marital Status_1,0.0062989662,binary
numeric__Admission grade,0.006264581,binary
numeric__Application order,0.0061549437,binary
categorical__Father's qualification_3,0.006119895,binary
categorical__Application mode_17,0.006083801,binary
categorical__Previous qualification_39,0.006062188,binary
categorical__Mother's occupation_3,0.005842869,binary
categorical__Mother's occupation_90,0.0058224,binary
categorical__Mother's occupation_9,0.00581155,binary
categorical__Mother's occupation_8,0.005803825,binary
categorical__Mother's qualification_4,0.005784563,binary
numeric__Inflation rate,0.0057694167,binary
categorical__Course_9773,0.005756387,binary
categorical__Father's occupation_90,0.005751775,binary
categorical__Father's occupation_2,0.005612105,binary
categorical__Father's occupation_3,0.0055907117,binary
categorical__Daytime/evening attendance_0,0.0054890504,binary
categorical__Mother's occupation_5,0.005481625,binary
categorical__Mother's qualification_3,0.005436036,binary
categorical__Mother's occupation_2,0.005381611,binary
categorical__Course_9119,0.005327785,binary
categorical__Application mode_44,0.0051142047,binary
categorical__Course_8014,0.005072165,binary
categorical__Father's occupation_0,0.0050214636,binary
categorical__Father's qualification_19,0.00492627,binary
categorical__Father's occupation_8,0.004798341,binary
categorical__Course_9070,0.004795511,binary
categorical__Mother's occupation_4,0.0047589503,binary
categorical__Previous qualification_1,0.00475491,binary
categorical__Mother's occupation_6,0.004712426,binary
categorical__Father's occupation_7,0.0046788277,binary
categorical__Marital Status_4,0.0046356176,binary
categorical__Application mode_42,0.0046290527,binary
categorical__International_0,0.004527729,binary
categorical__Mother's occupation_1,0.004372324,binary
categorical__Mother's qualification_1,0.0043471544,binary
categorical__Nacionality_41,0.0041575525,binary
categorical__Father's qualification_39,0.0041410173,binary
categorical__Nacionality_26,0.004033404,binary
categorical__Daytime/evening attendance_1,0.0036546376,binary
categorical__Father's qualification_4,0.0036363595,binary
categorical__Previous qualification_2,0.003629731,binary
categorical__Course_9670,0.003590857,binary
categorical__Application mode_16,0.003449573,binary
categorical__Father's occupation_193,0.0033590107,binary
categorical__Marital Status_2,0.0027886664,binary
categorical__Father's occupation_99,0.0027777434,binary
categorical__Previous qualification_12,0.002665984,binary
categorical__Father's occupation_132,0.0,binary
categorical__Father's occupation_124,0.0,binary
categorical__Father's occupation_131,0.0,binary
categorical__Father's occupation_122,0.0,binary
categorical__Father's occupation_121,0.0,binary
categorical__Father's occupation_123,0.0,binary
categorical__Application mode_27,0.0,binary
categorical__Father's occupation_112,0.0,binary
categorical__Father's occupation_103,0.0,binary
categorical__Father's occupation_102,0.0,binary
categorical__Father's occupation_101,0.0,binary
categorical__Previous qualification_10,0.0,binary
categorical__Mother's occupation_99,0.0,binary
categorical__Father's occupation_134,0.0,binary
categorical__Marital Status_6,0.0,binary
categorical__Marital Status_5,0.0,binary
categorical__Previous qualification_15,0.0,binary
categorical__Marital Status_3,0.0,binary
categorical__Application mode_10,0.0,binary
categorical__Father's occupation_163,0.0,binary
categorical__Father's occupation_135,0.0,binary
categorical__Father's occupation_143,0.0,binary
categorical__Application mode_5,0.0,binary
categorical__Application mode_57,0.0,binary
categorical__Course_33,0.0,binary
categorical__Educational special needs_1,0.0,binary
categorical__Educational special needs_0,0.0,binary
categorical__International_1,0.0,binary
categorical__Application mode_26,0.0,binary
categorical__Application mode_2,0.0,binary
categorical__Father's occupation_195,0.0,binary
categorical__Father's occupation_194,0.0,binary
categorical__Mother's occupation_194,0.0,binary
categorical__Father's occupation_183,0.0,binary
categorical__Father's occupation_182,0.0,binary
categorical__Father's occupation_181,0.0,binary
categorical__Father's occupation_175,0.0,binary
categorical__Father's occupation_174,0.0,binary
categorical__Father's occupation_172,0.0,binary
categorical__Father's occupation_171,0.0,binary
categorical__Father's occupation_161,0.0,binary
categorical__Father's occupation_154,0.0,binary
categorical__Father's occupation_152,0.0,binary
categorical__Father's occupation_151,0.0,binary
categorical__Father's occupation_144,0.0,binary
categorical__Father's occupation_192,0.0,binary
categorical__Nacionality_105,0.0,binary
