feature,importance,problem_type
numeric__Curricular units 2nd sem (approved),0.5570477823595804,multiclass
categorical__Tuition fees up to date_1,0.062308770263199226,multiclass
numeric__Curricular units 1st sem (evaluations),0.057781339011114076,multiclass
numeric__Curricular units 2nd sem (grade),0.03503514429242566,multiclass
categorical__Course_171,0.028663176411054272,multiclass
numeric__Admission grade,0.025961623542257114,multiclass
numeric__Age at enrollment,0.022620414451387603,multiclass
numeric__Curricular units 2nd sem (enrolled),0.01892699839994895,multiclass
numeric__GDP,0.018870914476852865,multiclass
numeric__Curricular units 2nd sem (evaluations),0.018798409125226706,multiclass
numeric__Previous qualification (grade),0.017633803072234562,multiclass
categorical__Tuition fees up to date_0,0.0159246710628523,multiclass
numeric__Application order,0.011271886615797862,multiclass
categorical__Course_9238,0.010007829988567559,multiclass
categorical__Mother's occupation_0,0.008653085792465943,multiclass
numeric__Inflation rate,0.00833052479090082,multiclass
numeric__Curricular units 1st sem (enrolled),0.007804985727713403,multiclass
numeric__Unemployment rate,0.007453833623839631,multiclass
numeric__Curricular units 1st sem (grade),0.007298124540553573,multiclass
categorical__Scholarship holder_0,0.006850001744962091,multiclass
categorical__Course_8014,0.006367104364418221,multiclass
numeric__Curricular units 2nd sem (credited),0.0061264355739670835,multiclass
categorical__Debtor_0,0.0057264249595818046,multiclass
categorical__Course_9853,0.005312262633057619,multiclass
numeric__Curricular units 1st sem (approved),0.004257980458300165,multiclass
numeric__Curricular units 2nd sem (without evaluations),0.004101449752846084,multiclass
categorical__Course_9119,0.003967205205088127,multiclass
categorical__Mother's qualification_3,0.003890231737991717,multiclass
categorical__Daytime/evening attendance_1,0.0035684918739366067,multiclass
categorical__Gender_0,0.0034656403737321536,multiclass
categorical__Gender_1,0.0022456643750364855,multiclass
categorical__Application mode_1,0.0016127125336289772,multiclass
categorical__Course_9070,0.0015437994657050023,multiclass
categorical__Mother's occupation_9,0.0005712773997751507,multiclass
categorical__Father's qualification_42,0.0,multiclass
categorical__Mother's occupation_194,0.0,multiclass
categorical__Mother's occupation_3,0.0,multiclass
categorical__Mother's occupation_2,0.0,multiclass
