feature,importance,problem_type
numeric__Curricular units 2nd sem (approved),0.5253807234831499,multiclass
numeric__Curricular units 1st sem (approved),0.03973688654388418,multiclass
categorical__Tuition fees up to date_1,0.03958277586375984,multiclass
categorical__Tuition fees up to date_0,0.03496641344916832,multiclass
numeric__Curricular units 2nd sem (grade),0.03116841683510933,multiclass
numeric__Curricular units 1st sem (evaluations),0.02801453884917938,multiclass
numeric__Curricular units 2nd sem (enrolled),0.026948898449670137,multiclass
numeric__Age at enrollment,0.023531678089976145,multiclass
numeric__Curricular units 2nd sem (evaluations),0.02254968604989632,multiclass
categorical__Course_171,0.015243060307729744,multiclass
numeric__Curricular units 1st sem (enrolled),0.015226031513861487,multiclass
numeric__Admission grade,0.013685725341939074,multiclass
numeric__Previous qualification (grade),0.012352718175133405,multiclass
numeric__Curricular units 1st sem (grade),0.011350482487695764,multiclass
numeric__GDP,0.011033553204052072,multiclass
categorical__Course_9853,0.008795401219860553,multiclass
numeric__Unemployment rate,0.007992427643800499,multiclass
categorical__Course_9119,0.007813260437453718,multiclass
categorical__Scholarship holder_0,0.007093912417798793,multiclass
categorical__Scholarship holder_1,0.0070477131006627496,multiclass
categorical__Course_9238,0.006401143935387265,multiclass
categorical__Mother's occupation_0,0.004896268782722661,multiclass
numeric__Inflation rate,0.004654644502627446,multiclass
numeric__Curricular units 2nd sem (credited),0.004047381077423904,multiclass
categorical__Mother's occupation_191,0.004046117878938689,multiclass
categorical__Debtor_1,0.003904064490601934,multiclass
categorical__Debtor_0,0.0037872507788151216,multiclass
categorical__Father's qualification_2,0.00311835145395074,multiclass
numeric__Curricular units 1st sem (credited),0.002888143274963251,multiclass
numeric__Application order,0.002715695723963587,multiclass
categorical__Application mode_15,0.002601221425829389,multiclass
categorical__Application mode_43,0.002425244468361689,multiclass
categorical__Course_9130,0.002313408686518478,multiclass
categorical__Father's qualification_34,0.002093323318371747,multiclass
numeric__Curricular units 1st sem (without evaluations),0.001996819930019138,multiclass
categorical__Application mode_5,0.0017404488278422018,multiclass
categorical__Mother's occupation_8,0.001695383893953018,multiclass
categorical__Course_9070,0.0016262820023166832,multiclass
categorical__Mother's qualification_34,0.001606512162918438,multiclass
categorical__Mother's occupation_192,0.001587698899583867,multiclass
categorical__Father's qualification_39,0.0014394235257417381,multiclass
categorical__Gender_0,0.0014207730056308872,multiclass
categorical__Previous qualification_2,0.0013558087428489054,multiclass
numeric__Curricular units 2nd sem (without evaluations),0.0012722667681813642,multiclass
categorical__Mother's occupation_90,0.0012126503859653244,multiclass
categorical__Mother's qualification_1,0.0011798907107975216,multiclass
categorical__Mother's occupation_134,0.001159572073716572,multiclass
categorical__Course_9991,0.0011545364510977506,multiclass
categorical__Application mode_42,0.0011278565385184783,multiclass
categorical__Father's occupation_4,0.0010949073151841474,multiclass
categorical__Father's occupation_5,0.0010451403548626657,multiclass
categorical__Previous qualification_4,0.0009358463082423718,multiclass
categorical__Mother's occupation_9,0.000929025191687771,multiclass
categorical__Course_9085,0.0009261180383190482,multiclass
categorical__Father's qualification_40,0.0009173695155611595,multiclass
categorical__Course_9254,0.0008845923611264772,multiclass
categorical__Father's occupation_3,0.0008629763881611506,multiclass
categorical__Father's qualification_4,0.0008531732001511908,multiclass
categorical__Nacionality_25,0.0007977700158016092,multiclass
categorical__Mother's occupation_6,0.0007958117432044256,multiclass
categorical__Application mode_1,0.0007828226408412556,multiclass
categorical__Mother's qualification_37,0.0007571817886298453,multiclass
categorical__Mother's occupation_7,0.0007568220272768388,multiclass
categorical__Application mode_44,0.0007272154082926388,multiclass
categorical__Mother's qualification_19,0.0007233710556386451,multiclass
categorical__Application mode_51,0.0007229521249995122,multiclass
categorical__Course_8014,0.0007209889537689365,multiclass
