feature,importance,problem_type
numeric__Curricular units 2nd sem (approved),1.31288372036771,multiclass
categorical__Mother's occupation_0,0.9978307714459754,multiclass
categorical__Mother's occupation_90,0.9384303579673267,multiclass
categorical__Father's qualification_39,0.8435590296985792,multiclass
categorical__Mother's occupation_191,0.8337506906895866,multiclass
categorical__Application mode_15,0.8164592899856892,multiclass
categorical__Father's occupation_90,0.7869860711819467,multiclass
numeric__Curricular units 1st sem (approved),0.77939702705527,multiclass
numeric__Curricular units 2nd sem (enrolled),0.7613619431839735,multiclass
categorical__Course_9119,0.653305030414843,multiclass
categorical__Tuition fees up to date_0,0.6498983670846035,multiclass
categorical__Nacionality_25,0.6472090051765701,multiclass
categorical__Course_9238,0.6084820875664232,multiclass
categorical__Tuition fees up to date_1,0.6019239257955793,multiclass
categorical__Application mode_5,0.5948041315920615,multiclass
categorical__Mother's occupation_8,0.5882494846337988,multiclass
categorical__Mother's occupation_132,0.5655603755910305,multiclass
categorical__Mother's qualification_4,0.5535833342002113,multiclass
categorical__Course_9853,0.5471770263609866,multiclass
categorical__Course_9130,0.531029758136255,multiclass
categorical__Previous qualification_4,0.518100536302706,multiclass
categorical__Marital Status_6,0.5139307685481199,multiclass
categorical__Nacionality_105,0.5106626662033453,multiclass
categorical__Mother's qualification_43,0.5105856653327036,multiclass
categorical__Father's qualification_2,0.5089576759159206,multiclass
categorical__Father's occupation_0,0.500686848779281,multiclass
categorical__Father's qualification_40,0.4929627903354669,multiclass
categorical__Mother's qualification_41,0.4885581558795309,multiclass
categorical__Application mode_10,0.4857575756208548,multiclass
categorical__Mother's occupation_192,0.47401017543656687,multiclass
categorical__Mother's occupation_134,0.4719612915207052,multiclass
categorical__Previous qualification_2,0.465849555016322,multiclass
categorical__Nacionality_26,0.46260744632711415,multiclass
categorical__Father's occupation_163,0.43969572421823755,multiclass
categorical__Previous qualification_43,0.4390443650151073,multiclass
categorical__Father's qualification_5,0.4355029039524763,multiclass
categorical__Father's qualification_30,0.4235029207610232,multiclass
categorical__Marital Status_3,0.406253082913918,multiclass
categorical__Application mode_53,0.4006133277857415,multiclass
categorical__Father's occupation_122,0.3985336324624376,multiclass
categorical__Course_171,0.3924256183374915,multiclass
categorical__Mother's qualification_12,0.3850299772349019,multiclass
categorical__Mother's qualification_9,0.3664423966851016,multiclass
categorical__Father's qualification_11,0.3661382922165659,multiclass
categorical__Father's occupation_4,0.3609106070649668,multiclass
categorical__Mother's qualification_34,0.356758314742417,multiclass
categorical__Father's qualification_43,0.3550600743956874,multiclass
