feature,importance,problem_type
numeric__Curricular units 2nd sem (approved),0.10864006311640735,multiclass
numeric__Curricular units 2nd sem (grade),0.08452409392442777,multiclass
numeric__Curricular units 1st sem (approved),0.0775673321202299,multiclass
numeric__Curricular units 1st sem (grade),0.06472299617075751,multiclass
numeric__Curricular units 2nd sem (evaluations),0.04447534241634965,multiclass
numeric__Curricular units 1st sem (evaluations),0.040172603705280883,multiclass
numeric__Age at enrollment,0.03420445174502904,multiclass
numeric__Admission grade,0.03406981681603194,multiclass
numeric__Previous qualification (grade),0.030713940786220143,multiclass
categorical__Tuition fees up to date_1,0.03044669024559425,multiclass
categorical__Tuition fees up to date_0,0.027006737086035057,multiclass
numeric__Curricular units 2nd sem (enrolled),0.021844858916255774,multiclass
numeric__GDP,0.0215761832569912,multiclass
numeric__Unemployment rate,0.021540705768130216,multiclass
numeric__Curricular units 1st sem (enrolled),0.019588774468048995,multiclass
numeric__Inflation rate,0.01908352144233995,multiclass
categorical__Scholarship holder_1,0.013072343401447141,multiclass
categorical__Scholarship holder_0,0.013034027696914545,multiclass
numeric__Application order,0.011525119098338251,multiclass
categorical__Application mode_1,0.008735701444298546,multiclass
categorical__Gender_0,0.007972744603015398,multiclass
categorical__Gender_1,0.0077364500587801845,multiclass
categorical__Debtor_0,0.0072928123127144395,multiclass
categorical__Debtor_1,0.0071675546181645,multiclass
categorical__Mother's occupation_9,0.006993524622924875,multiclass
categorical__Application mode_39,0.006561147259866534,multiclass
categorical__Displaced_0,0.006522545299134943,multiclass
numeric__Curricular units 1st sem (credited),0.006485635207964369,multiclass
categorical__Displaced_1,0.00618455934377275,multiclass
categorical__Father's occupation_9,0.005718192020728859,multiclass
numeric__Curricular units 2nd sem (credited),0.00561009547517065,multiclass
categorical__Mother's qualification_1,0.005598477326152228,multiclass
categorical__Father's qualification_37,0.005585726420016861,multiclass
categorical__Father's qualification_19,0.005483016283977306,multiclass
categorical__Mother's qualification_19,0.005294143889856051,multiclass
categorical__Course_9238,0.0051638789006500305,multiclass
categorical__Application mode_17,0.005140403272210879,multiclass
categorical__Course_9500,0.00506790587520408,multiclass
