feature,importance,problem_type
numeric__Curricular units 2nd sem (approved),0.0745663,multiclass
categorical__Course_171,0.03490181,multiclass
categorical__Tuition fees up to date_0,0.032741185,multiclass
categorical__Tuition fees up to date_1,0.028924549,multiclass
numeric__Curricular units 1st sem (approved),0.01890374,multiclass
numeric__Curricular units 1st sem (enrolled),0.015102818,multiclass
numeric__Curricular units 2nd sem (enrolled),0.013921573,multiclass
categorical__Father's qualification_34,0.01340915,multiclass
categorical__Course_9853,0.013347396,multiclass
categorical__Scholarship holder_0,0.0128692305,multiclass
numeric__Curricular units 1st sem (evaluations),0.012660064,multiclass
categorical__Debtor_1,0.012369294,multiclass
categorical__Scholarship holder_1,0.012354224,multiclass
categorical__Mother's occupation_0,0.01210239,multiclass
numeric__Curricular units 2nd sem (grade),0.0116212815,multiclass
categorical__Course_9238,0.009963741,multiclass
numeric__Curricular units 2nd sem (evaluations),0.009803264,multiclass
categorical__Mother's qualification_34,0.0096866675,multiclass
categorical__Course_9130,0.009650555,multiclass
categorical__Previous qualification_40,0.00943489,multiclass
numeric__Curricular units 2nd sem (credited),0.009078883,multiclass
categorical__Debtor_0,0.00903474,multiclass
categorical__Gender_1,0.008862503,multiclass
categorical__Course_9500,0.0086333575,multiclass
numeric__Age at enrollment,0.008378802,multiclass
categorical__Course_9119,0.008368359,multiclass
categorical__Nacionality_26,0.008347233,multiclass
categorical__Father's qualification_4,0.008217001,multiclass
categorical__Previous qualification_19,0.007944526,multiclass
categorical__Father's qualification_2,0.0078927055,multiclass
categorical__Mother's occupation_191,0.0077938037,multiclass
categorical__Mother's occupation_8,0.0076274043,multiclass
categorical__Course_9254,0.007607633,multiclass
categorical__Mother's occupation_90,0.0075996127,multiclass
categorical__Course_8014,0.0074702483,multiclass
numeric__GDP,0.007407022,multiclass
categorical__Father's occupation_4,0.0072930227,multiclass
categorical__Course_9773,0.007226683,multiclass
categorical__Application mode_15,0.0069230483,multiclass
numeric__Curricular units 2nd sem (without evaluations),0.0068783876,multiclass
categorical__Educational special needs_0,0.0068552275,multiclass
categorical__Father's occupation_0,0.006837807,multiclass
categorical__Gender_0,0.006809591,multiclass
categorical__Application mode_17,0.0067797326,multiclass
categorical__Application mode_43,0.0066901282,multiclass
numeric__Curricular units 1st sem (without evaluations),0.006595305,multiclass
numeric__Curricular units 1st sem (credited),0.0065660756,multiclass
categorical__Previous qualification_2,0.006416859,multiclass
categorical__Application mode_1,0.006369375,multiclass
categorical__Mother's occupation_7,0.006367479,multiclass
numeric__Curricular units 1st sem (grade),0.006360667,multiclass
categorical__Course_9991,0.006211027,multiclass
categorical__Course_9085,0.0061313114,multiclass
categorical__Application mode_39,0.006125345,multiclass
categorical__Application mode_51,0.006113568,multiclass
categorical__Course_9147,0.006113478,multiclass
categorical__Mother's qualification_37,0.0061092987,multiclass
categorical__Mother's occupation_6,0.00610458,multiclass
categorical__Father's occupation_8,0.0061001005,multiclass
categorical__Application mode_5,0.006043405,multiclass
categorical__Previous qualification_3,0.006034655,multiclass
numeric__Unemployment rate,0.005998796,multiclass
categorical__Mother's occupation_9,0.0059946864,multiclass
numeric__Admission grade,0.005973347,multiclass
numeric__Application order,0.005966439,multiclass
categorical__Mother's qualification_5,0.0059092795,multiclass
categorical__Daytime/evening attendance_0,0.005902778,multiclass
numeric__Inflation rate,0.0059006787,multiclass
numeric__Previous qualification (grade),0.0058564628,multiclass
categorical__Father's occupation_10,0.005849234,multiclass
categorical__Father's occupation_5,0.005811623,multiclass
categorical__Father's qualification_3,0.005718279,multiclass
categorical__Mother's occupation_3,0.0056647547,multiclass
categorical__Mother's qualification_12,0.005597721,multiclass
categorical__Application mode_16,0.0055737905,multiclass
categorical__Course_9070,0.0055681914,multiclass
categorical__Application mode_18,0.00548688,multiclass
categorical__Father's occupation_6,0.0054216357,multiclass
categorical__Father's occupation_2,0.0053894306,multiclass
categorical__Mother's occupation_4,0.0053874264,multiclass
categorical__Father's qualification_12,0.00535277,multiclass
categorical__Father's qualification_39,0.005292394,multiclass
categorical__Previous qualification_39,0.005284588,multiclass
categorical__Father's qualification_1,0.0052677076,multiclass
categorical__Mother's qualification_3,0.0052654757,multiclass
categorical__Displaced_0,0.0052585453,multiclass
categorical__Application mode_7,0.0052231248,multiclass
categorical__Father's occupation_3,0.0051895943,multiclass
categorical__Father's qualification_19,0.005187435,multiclass
categorical__Father's occupation_90,0.005071618,multiclass
categorical__Course_9670,0.005064727,multiclass
categorical__Mother's qualification_19,0.005063507,multiclass
categorical__Course_9003,0.0050254185,multiclass
categorical__Mother's occupation_5,0.0050194357,multiclass
categorical__Previous qualification_1,0.0049775485,multiclass
categorical__Course_9556,0.004970438,multiclass
categorical__Nacionality_1,0.0049649132,multiclass
categorical__Nacionality_41,0.0048874156,multiclass
categorical__Father's qualification_37,0.0048437156,multiclass
categorical__Father's qualification_38,0.004819608,multiclass
categorical__Father's occupation_7,0.004767967,multiclass
categorical__Mother's qualification_38,0.0047290777,multiclass
categorical__Mother's occupation_192,0.0047192406,multiclass
categorical__Mother's qualification_1,0.0046504517,multiclass
categorical__Mother's qualification_40,0.004638618,multiclass
categorical__Educational special needs_1,0.004592884,multiclass
categorical__International_0,0.00456691,multiclass
categorical__Father's occupation_9,0.0045101275,multiclass
categorical__Previous qualification_42,0.0045070425,multiclass
categorical__Father's occupation_1,0.0044383337,multiclass
categorical__Displaced_1,0.0044057295,multiclass
categorical__Marital Status_4,0.0043705744,multiclass
categorical__Application mode_42,0.00434669,multiclass
categorical__Mother's qualification_2,0.0042826473,multiclass
categorical__Nacionality_6,0.004251579,multiclass
categorical__International_1,0.0041925437,multiclass
categorical__Mother's occupation_1,0.0041782944,multiclass
categorical__Mother's occupation_2,0.004119643,multiclass
categorical__Marital Status_2,0.0041023293,multiclass
categorical__Mother's qualification_4,0.004066301,multiclass
categorical__Previous qualification_4,0.00401303,multiclass
categorical__Father's occupation_193,0.0040027197,multiclass
categorical__Marital Status_1,0.0039936574,multiclass
categorical__Application mode_44,0.0039607864,multiclass
categorical__Daytime/evening attendance_1,0.0037501026,multiclass
categorical__Previous qualification_12,0.0035986996,multiclass
categorical__Mother's occupation_99,0.003227557,multiclass
categorical__Father's qualification_40,0.003149732,multiclass
categorical__Application mode_53,0.0031034704,multiclass
categorical__Father's qualification_5,0.0030400755,multiclass
categorical__Mother's occupation_141,0.0024952262,multiclass
categorical__Father's occupation_99,0.0015723917,multiclass
categorical__Mother's qualification_18,0.0,multiclass
categorical__Mother's qualification_14,0.0,multiclass
categorical__Mother's qualification_11,0.0,multiclass
categorical__Father's occupation_195,0.0,multiclass
categorical__Mother's qualification_10,0.0,multiclass
categorical__Nacionality_62,0.0,multiclass
categorical__Nacionality_32,0.0,multiclass
categorical__Nacionality_25,0.0,multiclass
categorical__Nacionality_24,0.0,multiclass
categorical__Mother's qualification_22,0.0,multiclass
categorical__Father's qualification_31,0.0,multiclass
categorical__Father's occupation_194,0.0,multiclass
categorical__Mother's qualification_26,0.0,multiclass
categorical__Nacionality_21,0.0,multiclass
categorical__Father's occupation_192,0.0,multiclass
categorical__Father's occupation_183,0.0,multiclass
categorical__Father's occupation_182,0.0,multiclass
categorical__Father's occupation_181,0.0,multiclass
categorical__Father's occupation_175,0.0,multiclass
categorical__Father's occupation_172,0.0,multiclass
categorical__Father's occupation_171,0.0,multiclass
categorical__Father's occupation_163,0.0,multiclass
categorical__Father's occupation_161,0.0,multiclass
categorical__Father's occupation_154,0.0,multiclass
categorical__Nacionality_22,0.0,multiclass
categorical__Nacionality_11,0.0,multiclass
categorical__Nacionality_2,0.0,multiclass
categorical__Previous qualification_15,0.0,multiclass
categorical__Marital Status_3,0.0,multiclass
categorical__Marital Status_5,0.0,multiclass
categorical__Marital Status_6,0.0,multiclass
categorical__Application mode_10,0.0,multiclass
categorical__Application mode_2,0.0,multiclass
categorical__Application mode_26,0.0,multiclass
categorical__Application mode_27,0.0,multiclass
categorical__Application mode_57,0.0,multiclass
categorical__Course_33,0.0,multiclass
categorical__Previous qualification_10,0.0,multiclass
categorical__Previous qualification_14,0.0,multiclass
categorical__Previous qualification_38,0.0,multiclass
categorical__Nacionality_14,0.0,multiclass
categorical__Previous qualification_43,0.0,multiclass
categorical__Previous qualification_5,0.0,multiclass
categorical__Previous qualification_6,0.0,multiclass
categorical__Previous qualification_9,0.0,multiclass
categorical__Nacionality_100,0.0,multiclass
categorical__Nacionality_101,0.0,multiclass
categorical__Nacionality_103,0.0,multiclass
categorical__Nacionality_105,0.0,multiclass
categorical__Nacionality_108,0.0,multiclass
categorical__Father's occupation_152,0.0,multiclass
categorical__Nacionality_13,0.0,multiclass
categorical__Father's occupation_153,0.0,multiclass
categorical__Father's occupation_143,0.0,multiclass
categorical__Father's occupation_151,0.0,multiclass
categorical__Father's qualification_18,0.0,multiclass
categorical__Mother's occupation_171,0.0,multiclass
categorical__Mother's occupation_153,0.0,multiclass
categorical__Mother's occupation_152,0.0,multiclass
categorical__Mother's occupation_151,0.0,multiclass
categorical__Mother's occupation_144,0.0,multiclass
categorical__Mother's occupation_143,0.0,multiclass
categorical__Mother's occupation_134,0.0,multiclass
categorical__Mother's occupation_132,0.0,multiclass
categorical__Mother's occupation_131,0.0,multiclass
categorical__Mother's occupation_123,0.0,multiclass
categorical__Mother's occupation_122,0.0,multiclass
categorical__Mother's occupation_10,0.0,multiclass
categorical__Father's qualification_20,0.0,multiclass
categorical__Father's occupation_144,0.0,multiclass
categorical__Father's qualification_9,0.0,multiclass
categorical__Father's qualification_6,0.0,multiclass
categorical__Father's qualification_44,0.0,multiclass
categorical__Father's qualification_43,0.0,multiclass
categorical__Father's qualification_42,0.0,multiclass
categorical__Father's qualification_41,0.0,multiclass
categorical__Father's qualification_22,0.0,multiclass
categorical__Father's qualification_25,0.0,multiclass
categorical__Father's qualification_26,0.0,multiclass
categorical__Father's qualification_27,0.0,multiclass
categorical__Father's qualification_36,0.0,multiclass
categorical__Father's qualification_35,0.0,multiclass
categorical__Mother's occupation_173,0.0,multiclass
categorical__Mother's occupation_175,0.0,multiclass
categorical__Father's qualification_14,0.0,multiclass
categorical__Father's qualification_11,0.0,multiclass
categorical__Father's qualification_29,0.0,multiclass
categorical__Father's occupation_141,0.0,multiclass
categorical__Father's occupation_135,0.0,multiclass
categorical__Father's occupation_134,0.0,multiclass
categorical__Father's occupation_131,0.0,multiclass
categorical__Father's occupation_123,0.0,multiclass
categorical__Father's occupation_122,0.0,multiclass
categorical__Father's occupation_112,0.0,multiclass
categorical__Father's occupation_103,0.0,multiclass
categorical__Father's occupation_102,0.0,multiclass
categorical__Father's occupation_101,0.0,multiclass
categorical__Mother's qualification_29,0.0,multiclass
categorical__Mother's qualification_30,0.0,multiclass
categorical__Mother's qualification_35,0.0,multiclass
categorical__Mother's qualification_36,0.0,multiclass
categorical__Mother's qualification_39,0.0,multiclass
categorical__Mother's qualification_41,0.0,multiclass
categorical__Mother's qualification_42,0.0,multiclass
categorical__Mother's qualification_43,0.0,multiclass
categorical__Mother's qualification_44,0.0,multiclass
categorical__Mother's qualification_6,0.0,multiclass
categorical__Mother's qualification_9,0.0,multiclass
categorical__Father's qualification_10,0.0,multiclass
categorical__Mother's occupation_194,0.0,multiclass
categorical__Mother's occupation_193,0.0,multiclass
categorical__Father's qualification_30,0.0,multiclass
