feature,importance
numeric__assessment_submission_ratio_early,0.49973226
numeric__assessment_score_max_early,0.04664057
numeric__assessment_type_count_tma_early,0.031562973
categorical__code_module_GGG,0.030168854
numeric__assessment_score_mean_early,0.019792166
numeric__assessment_weighted_score_ratio_early,0.0163293
numeric__assessment_score_min_early,0.01571699
numeric__early_assessment_count_expected,0.013262733
numeric__assessment_type_count_cma_early,0.012420492
numeric__assessment_weighted_score_sum_early,0.012029606
numeric__assessment_banked_count_early,0.008742622
numeric__early_assessment_weight_expected,0.008641128
categorical__code_module_BBB,0.0077742734
categorical__code_module_FFF,0.0069492836
numeric__assessment_mean_submission_delay_early,0.0068723997
categorical__code_module_EEE,0.006699045
categorical__code_presentation_2014J,0.0063085426
numeric__studied_credits,0.0061458345
numeric__vle_total_clicks_early,0.005838144
numeric__vle_clicks_ouwiki_early,0.0057079545
categorical__highest_education_Lower Than A Level,0.0052929404
numeric__vle_active_days_early,0.005159692
numeric__vle_event_count_early,0.005148961
categorical__code_module_CCC,0.005147995
numeric__vle_unique_sites_early,0.00506289
categorical__disability_Y,0.005037424
numeric__vle_clicks_page_early,0.005011393
categorical__region_Wales,0.004914566
categorical__code_presentation_2013J,0.00466368
categorical__code_module_DDD,0.004562351
numeric__vle_clicks_dualpane_early,0.004543918
numeric__module_presentation_length,0.004480823
numeric__assessment_late_submission_count_early,0.0043277736
categorical__region_Scotland,0.0042933826
numeric__vle_clicks_quiz_early,0.004263935
categorical__disability_N,0.004231512
categorical__age_band_35-55,0.0041451314
numeric__num_of_prev_attempts,0.0040528257
numeric__assessment_submission_count_early,0.003978495
categorical__region_North Region,0.003877048
numeric__assessment_score_std_early,0.003813046
numeric__date_registration,0.0038047803
numeric__vle_clicks_oucontent_early,0.0037838842
numeric__vle_clicks_homepage_early,0.0037734169
numeric__vle_clicks_subpage_early,0.0037120949
numeric__vle_clicks_ouelluminate_early,0.0037001001
numeric__vle_clicks_externalquiz_early,0.0036679516
categorical__imd_band_70-80%,0.0036607853
numeric__vle_clicks_htmlactivity_early,0.0036562579
numeric__vle_clicks_resource_early,0.0036538958
numeric__registration_lead_days,0.0036490504
categorical__code_module_AAA,0.003635773
categorical__gender_M,0.0035921088
numeric__vle_clicks_url_early,0.0035338735
numeric__vle_clicks_glossary_early,0.003450909
numeric__vle_clicks_questionnaire_early,0.0034241192
categorical__gender_F,0.0033501245
categorical__region_East Midlands Region,0.0033208139
numeric__vle_clicks_forumng_early,0.003264498
numeric__vle_clicks_oucollaborate_early,0.0032632884
categorical__age_band_55<=,0.003249573
categorical__code_presentation_2013B,0.0031198133
categorical__imd_band_40-50%,0.0029725565
categorical__region_South Region,0.0029704492
categorical__age_band_0-35,0.0029700575
categorical__highest_education_A Level or Equivalent,0.002902861
categorical__highest_education_HE Qualification,0.0028963818
categorical__imd_band_60-70%,0.0028499807
categorical__imd_band_80-90%,0.002835313
categorical__region_London Region,0.0027970313
categorical__imd_band_50-60%,0.0027865765
categorical__region_Yorkshire Region,0.0027791923
categorical__region_Ireland,0.002768707
categorical__region_South West Region,0.0027616096
categorical__imd_band_10-20,0.0027513804
categorical__highest_education_No Formal quals,0.0026795361
categorical__imd_band_20-30%,0.002640524
categorical__imd_band_30-40%,0.0026211783
categorical__code_presentation_2014B,0.0025145435
categorical__imd_band_0-10%,0.002411704
categorical__imd_band_90-100%,0.0024045554
categorical__region_West Midlands Region,0.002187434
categorical__region_East Anglian Region,0.002179278
categorical__highest_education_Post Graduate Qualification,0.0020860373
categorical__region_South East Region,0.0020254157
categorical__region_North Western Region,0.0015955636
numeric__vle_clicks_repeatactivity_early,0.0
numeric__vle_clicks_sharedsubpage_early,0.0
numeric__vle_clicks_dataplus_early,0.0
