feature,importance
numeric__Curricular units 1st sem (approved),1.6279453253895568
categorical__Tuition fees up to date_0,0.8898971372974567
categorical__Tuition fees up to date_1,0.88552101260732
numeric__Curricular units 1st sem (enrolled),0.6581798262823079
categorical__Course_9853,0.6403691602617373
categorical__Mother's occupation_0,0.47852787775066224
categorical__Course_171,0.4687951072578017
categorical__Mother's qualification_34,0.41849413466802166
categorical__Course_9130,0.4050727286920072
categorical__Course_9254,0.35041697499165403
categorical__Debtor_1,0.33917748515184115
categorical__Debtor_0,0.3348013604617035
categorical__Course_9003,0.32903085150784794
categorical__Course_9238,0.32734247565203217
categorical__Father's qualification_34,0.3101951000054229
categorical__Father's occupation_6,0.3030879237162495
categorical__Course_9500,0.30269048607872223
numeric__Curricular units 1st sem (credited),0.29811470189448325
categorical__Father's occupation_90,0.2822825486321722
categorical__Scholarship holder_0,0.2807090509125472
categorical__Scholarship holder_1,0.27633292622240885
numeric__Age at enrollment,0.27498932335477994
categorical__Mother's occupation_191,0.2555234826130498
categorical__Father's occupation_0,0.24790757913474434
numeric__Curricular units 1st sem (grade),0.2383431305273933
categorical__Father's occupation_4,0.23727705584629738
categorical__Course_8014,0.2283413643194912
categorical__Father's occupation_9,0.2254257595511062
categorical__Mother's qualification_19,0.22338954745526918
categorical__Course_9773,0.2169427749114372
categorical__Mother's qualification_4,0.2119529109581162
numeric__Unemployment rate,0.2065352417581533
categorical__Application mode_7,0.20416096717837773
categorical__Mother's occupation_8,0.20235983434111937
categorical__Marital Status_1,0.1969582403840915
categorical__Mother's occupation_90,0.19300878419196604
categorical__Application mode_39,0.19009402995625108
categorical__Application mode_43,0.1889257056083419
categorical__Gender_1,0.18767685531234246
categorical__Application mode_44,0.1857801197448342
categorical__Gender_0,0.18330073062220434
categorical__Course_9085,0.17500767049789115
categorical__Application mode_1,0.17222662630857585
categorical__Mother's qualification_12,0.1695319404666502
categorical__Application mode_15,0.16756083418464718
categorical__Father's qualification_19,0.1655442963771311
categorical__Course_9991,0.16522709593965593
categorical__Previous qualification_2,0.16450115718392253
categorical__Mother's occupation_9,0.15894913511367437
categorical__Application mode_17,0.15875547386434713
categorical__Father's qualification_38,0.1516420991394589
categorical__Father's qualification_37,0.14363961142276244
categorical__Nacionality_26,0.14315151138813423
categorical__Father's qualification_22,0.14304915319066666
categorical__Previous qualification_39,0.13855355558749882
categorical__Father's qualification_3,0.1362407612138944
categorical__Mother's qualification_2,0.1337584904813701
categorical__Course_9556,0.1300563608291351
categorical__Application mode_18,0.11833711814298493
categorical__Father's occupation_193,0.11615084868254076
categorical__Previous qualification_3,0.11308476276422295
categorical__Mother's occupation_5,0.1115334581250642
categorical__Displaced_1,0.10855716993513174
categorical__Displaced_0,0.10418104524499261
categorical__Previous qualification_12,0.09966670309681733
categorical__Marital Status_4,0.09837540428783856
categorical__Application mode_42,0.09739002361098192
categorical__Father's occupation_5,0.09553494338344476
categorical__Mother's qualification_3,0.09350411161040438
categorical__Father's occupation_171,0.09267313189577508
categorical__Mother's occupation_194,0.09241997530013828
categorical__Father's occupation_163,0.09170077978965821
categorical__Previous qualification_4,0.08870201503872908
categorical__Father's qualification_40,0.08594577767858774
categorical__Marital Status_2,0.08498968927335666
categorical__Mother's qualification_40,0.08490186416113947
categorical__Mother's qualification_1,0.08384985638589855
numeric__Admission grade,0.08160284380047882
categorical__Application mode_5,0.07988842847882509
categorical__Mother's occupation_6,0.07815412479497039
categorical__Mother's occupation_144,0.07646796814779294
categorical__Nacionality_41,0.07560064726077226
categorical__Nacionality_109,0.0754731813327619
categorical__Father's qualification_2,0.07520119998211042
categorical__Previous qualification_1,0.07455708620511774
numeric__Application order,0.07332933350268915
categorical__Application mode_51,0.07036523328804932
categorical__Mother's qualification_37,0.06903174013333693
categorical__Father's occupation_123,0.06800515037420726
categorical__Father's qualification_39,0.06785137466677114
categorical__Father's qualification_4,0.06750561175490508
categorical__Daytime/evening attendance_1,0.06749039306996985
categorical__Father's occupation_144,0.06708261624769679
categorical__International_0,0.06686622221547267
categorical__Nacionality_1,0.06686622221547046
numeric__Previous qualification (grade),0.0648980298315776
categorical__Course_9147,0.06456499070258838
categorical__Mother's qualification_9,0.0635551463172649
categorical__Daytime/evening attendance_0,0.06311426837983566
categorical__International_1,0.062490097525334055
categorical__Father's occupation_1,0.061178181304147
categorical__Father's occupation_10,0.06054774915990781
categorical__Mother's occupation_7,0.0605126933301409
categorical__Mother's qualification_38,0.06024199918458118
categorical__Course_9119,0.05802219472320445
categorical__Application mode_16,0.057076797929182986
categorical__Application mode_53,0.05672169783707399
categorical__Father's occupation_2,0.0566943743066227
categorical__Mother's occupation_3,0.05534829092277205
categorical__Nacionality_6,0.054245737942679
categorical__Course_9670,0.054063750684842954
categorical__Mother's occupation_192,0.051519504020620825
categorical__Father's qualification_5,0.05098373060419786
categorical__Mother's occupation_134,0.05072241810661468
categorical__Mother's occupation_141,0.05010065935474237
categorical__Father's qualification_31,0.04995897600552756
categorical__Father's occupation_3,0.04965204194346041
categorical__Nacionality_100,0.04703664562472251
categorical__Father's qualification_10,0.04652996416925354
categorical__Marital Status_3,0.04381230312377527
categorical__Father's qualification_1,0.04378946900851809
categorical__Mother's qualification_11,0.04123109861043821
categorical__Father's qualification_9,0.04059068726440104
categorical__Father's occupation_7,0.04045430643221485
categorical__Mother's occupation_10,0.03899434913498422
categorical__Father's occupation_134,0.03720112731988348
categorical__Father's qualification_14,0.037173335489712724
categorical__Previous qualification_42,0.037039183626457625
categorical__Nacionality_25,0.03703118485021366
categorical__Previous qualification_38,0.03686695795711807
categorical__Father's qualification_30,0.03611359215187697
categorical__Nacionality_24,0.034695501011105044
categorical__Mother's qualification_10,0.03456297861187155
categorical__Father's qualification_11,0.03408407211256453
categorical__Mother's occupation_2,0.033663725316831344
categorical__Mother's qualification_44,0.03333283795487714
categorical__Educational special needs_1,0.03325495564851936
categorical__Mother's qualification_39,0.03277193576214501
categorical__Mother's occupation_122,0.03211798456926624
categorical__Father's occupation_192,0.031577552658608586
categorical__Father's qualification_43,0.030332768859605765
categorical__Mother's occupation_132,0.029123183010450988
categorical__Mother's occupation_151,0.02903727512508627
categorical__Educational special needs_0,0.028878830958379145
numeric__Inflation rate,0.028698624956809995
