feature,mean_abs_shap
numeric__Curricular units 1st sem (approved),1.0151019
categorical__Tuition fees up to date_0,0.339773
numeric__Age at enrollment,0.2718733
numeric__Curricular units 1st sem (grade),0.25514734
numeric__Curricular units 1st sem (enrolled),0.1989346
categorical__Scholarship holder_0,0.12380592
categorical__Tuition fees up to date_1,0.09840349
categorical__Gender_0,0.093995646
categorical__Debtor_0,0.085563906
numeric__Unemployment rate,0.084885694
categorical__Course_9853,0.069155835
categorical__Gender_1,0.05211063
categorical__Course_9238,0.04745182
categorical__Course_171,0.046704296
categorical__Mother's occupation_0,0.041117083
numeric__Curricular units 1st sem (credited),0.039626066
categorical__Scholarship holder_1,0.037795015
categorical__Mother's qualification_34,0.033947635
numeric__Curricular units 1st sem (evaluations),0.033905257
categorical__Course_9130,0.030807508
numeric__Previous qualification (grade),0.029750701
numeric__Application order,0.028195629
numeric__GDP,0.026973004
categorical__Application mode_1,0.025530467
numeric__Admission grade,0.0242798
categorical__Mother's qualification_19,0.023857858
categorical__Displaced_0,0.02270456
categorical__Application mode_17,0.020129232
categorical__Father's occupation_6,0.018573022
categorical__Father's qualification_34,0.016504213
categorical__Course_9254,0.016319659
categorical__Course_9003,0.016182952
categorical__Debtor_1,0.01397448
categorical__Course_8014,0.012646238
categorical__Father's occupation_4,0.011489447
categorical__Application mode_7,0.008780373
categorical__Mother's occupation_9,0.008519774
categorical__Mother's qualification_12,0.0083438745
categorical__Course_9773,0.007704809
categorical__Application mode_44,0.006608763
categorical__Father's occupation_90,0.0059670936
categorical__Displaced_1,0.004857433
categorical__Daytime/evening attendance_0,0.0048571024
categorical__Application mode_43,0.0047383616
categorical__Course_9085,0.0046364143
categorical__Course_9500,0.0044891345
categorical__Mother's occupation_8,0.0044114157
numeric__Inflation rate,0.0042627654
categorical__Father's qualification_37,0.004203706
categorical__Marital Status_1,0.00408101
categorical__Mother's qualification_3,0.0038443196
categorical__Father's occupation_9,0.0032338353
categorical__Father's qualification_1,0.0030233848
categorical__Course_9991,0.0026742702
categorical__Application mode_18,0.0025536376
categorical__Father's qualification_38,0.0025418117
categorical__Mother's occupation_191,0.0024189532
categorical__Mother's occupation_5,0.0022086387
categorical__Application mode_39,0.0019027827
categorical__Application mode_15,0.0017915939
categorical__Father's qualification_19,0.0014981593
categorical__Course_9556,0.0013750335
categorical__Mother's occupation_7,0.0012859502
categorical__Father's occupation_7,0.001141875
categorical__Course_9119,0.0011135652
categorical__Father's occupation_3,0.0010537015
categorical__Previous qualification_1,0.00095622265
categorical__Course_9670,0.0009258455
numeric__Curricular units 1st sem (without evaluations),0.0008903627
categorical__Mother's occupation_90,0.0006881009
categorical__Mother's qualification_37,0.0006631772
categorical__Father's qualification_3,0.0005760007
categorical__Father's occupation_2,0.00054828933
categorical__Mother's occupation_3,0.00042734682
categorical__Daytime/evening attendance_1,0.00034937635
categorical__Father's qualification_2,0.00031061523
categorical__Mother's qualification_4,0.00026486826
categorical__Nacionality_1,0.00021891978
categorical__Previous qualification_2,0.0001889334
categorical__Father's occupation_121,0.0
categorical__Father's occupation_112,0.0
categorical__Father's occupation_144,0.0
categorical__Father's occupation_132,0.0
categorical__Father's occupation_143,0.0
categorical__Father's occupation_131,0.0
categorical__Father's occupation_134,0.0
categorical__Father's occupation_122,0.0
categorical__Father's occupation_123,0.0
categorical__Father's occupation_124,0.0
categorical__Father's occupation_135,0.0
categorical__Father's occupation_101,0.0
categorical__Father's occupation_103,0.0
categorical__Mother's occupation_2,0.0
categorical__Mother's occupation_153,0.0
categorical__Mother's occupation_171,0.0
categorical__Mother's occupation_175,0.0
categorical__Mother's occupation_192,0.0
categorical__Mother's occupation_193,0.0
categorical__Mother's occupation_194,0.0
categorical__Mother's occupation_4,0.0
categorical__Father's occupation_102,0.0
categorical__Mother's occupation_6,0.0
categorical__Mother's occupation_99,0.0
categorical__Father's occupation_0,0.0
categorical__Father's occupation_1,0.0
categorical__Father's occupation_10,0.0
categorical__Father's occupation_152,0.0
categorical__Father's occupation_151,0.0
categorical__Father's occupation_181,0.0
categorical__Father's occupation_154,0.0
categorical__Application mode_27,0.0
categorical__Application mode_57,0.0
categorical__Application mode_53,0.0
categorical__Application mode_51,0.0
categorical__Application mode_5,0.0
categorical__Application mode_42,0.0
categorical__International_0,0.0
categorical__International_1,0.0
categorical__Application mode_26,0.0
categorical__Course_9070,0.0
categorical__Application mode_2,0.0
categorical__Application mode_16,0.0
categorical__Application mode_10,0.0
categorical__Marital Status_6,0.0
categorical__Marital Status_5,0.0
categorical__Marital Status_4,0.0
categorical__Marital Status_3,0.0
categorical__Course_33,0.0
categorical__Educational special needs_1,0.0
categorical__Father's occupation_161,0.0
categorical__Father's occupation_183,0.0
categorical__Father's occupation_163,0.0
categorical__Father's occupation_171,0.0
categorical__Father's occupation_172,0.0
categorical__Father's occupation_174,0.0
categorical__Father's occupation_175,0.0
categorical__Mother's occupation_151,0.0
categorical__Father's occupation_182,0.0
categorical__Father's occupation_192,0.0
categorical__Educational special needs_0,0.0
categorical__Father's occupation_193,0.0
categorical__Father's occupation_194,0.0
categorical__Father's occupation_195,0.0
categorical__Father's occupation_5,0.0
categorical__Father's occupation_8,0.0
categorical__Father's occupation_99,0.0
categorical__Course_9147,0.0
categorical__Mother's occupation_152,0.0
categorical__Previous qualification_38,0.0
categorical__Mother's occupation_144,0.0
categorical__Mother's occupation_143,0.0
categorical__Nacionality_41,0.0
categorical__Nacionality_6,0.0
categorical__Nacionality_62,0.0
categorical__Mother's qualification_1,0.0
categorical__Mother's qualification_10,0.0
categorical__Mother's qualification_11,0.0
categorical__Previous qualification_3,0.0
categorical__Mother's qualification_14,0.0
categorical__Mother's qualification_2,0.0
categorical__Mother's qualification_22,0.0
categorical__Mother's qualification_26,0.0
categorical__Mother's qualification_29,0.0
categorical__Mother's qualification_30,0.0
categorical__Previous qualification_19,0.0
categorical__Mother's qualification_35,0.0
categorical__Mother's qualification_36,0.0
categorical__Mother's qualification_38,0.0
categorical__Mother's qualification_39,0.0
categorical__Mother's qualification_40,0.0
categorical__Nacionality_26,0.0
categorical__Nacionality_25,0.0
categorical__Nacionality_24,0.0
categorical__Nacionality_101,0.0
categorical__Previous qualification_4,0.0
categorical__Previous qualification_40,0.0
categorical__Previous qualification_42,0.0
categorical__Previous qualification_43,0.0
categorical__Previous qualification_5,0.0
categorical__Previous qualification_6,0.0
categorical__Previous qualification_9,0.0
categorical__Nacionality_100,0.0
categorical__Nacionality_103,0.0
categorical__Nacionality_22,0.0
categorical__Nacionality_105,0.0
categorical__Nacionality_109,0.0
categorical__Nacionality_11,0.0
categorical__Nacionality_13,0.0
categorical__Nacionality_14,0.0
categorical__Nacionality_17,0.0
categorical__Nacionality_2,0.0
categorical__Nacionality_21,0.0
categorical__Mother's qualification_41,0.0
categorical__Mother's qualification_42,0.0
categorical__Mother's qualification_43,0.0
categorical__Previous qualification_10,0.0
categorical__Father's qualification_4,0.0
categorical__Father's qualification_40,0.0
categorical__Father's qualification_41,0.0
categorical__Father's qualification_43,0.0
categorical__Father's qualification_44,0.0
categorical__Father's qualification_5,0.0
categorical__Father's qualification_6,0.0
categorical__Father's qualification_9,0.0
categorical__Mother's occupation_1,0.0
categorical__Previous qualification_12,0.0
categorical__Mother's occupation_10,0.0
categorical__Mother's occupation_122,0.0
categorical__Mother's occupation_123,0.0
categorical__Mother's occupation_125,0.0
categorical__Mother's occupation_131,0.0
categorical__Previous qualification_39,0.0
categorical__Mother's occupation_134,0.0
categorical__Mother's occupation_141,0.0
categorical__Father's qualification_39,0.0
categorical__Father's qualification_36,0.0
categorical__Mother's qualification_44,0.0
categorical__Father's qualification_22,0.0
categorical__Mother's qualification_5,0.0
categorical__Mother's qualification_6,0.0
categorical__Mother's qualification_9,0.0
categorical__Father's qualification_10,0.0
categorical__Father's qualification_11,0.0
categorical__Father's qualification_12,0.0
categorical__Father's qualification_14,0.0
