feature,importance
numeric__Curricular units 1st sem (approved),0.119957305
categorical__Tuition fees up to date_1,0.059760213
categorical__Tuition fees up to date_0,0.058020383
categorical__Course_171,0.034450233
categorical__Scholarship holder_1,0.032412473
numeric__Curricular units 1st sem (grade),0.027129052
categorical__Scholarship holder_0,0.02341963
categorical__Debtor_0,0.023143992
numeric__Age at enrollment,0.023030924
numeric__Curricular units 1st sem (enrolled),0.018842356
categorical__Mother's occupation_0,0.01868342
categorical__Debtor_1,0.018111423
categorical__Gender_1,0.016687773
categorical__Course_9853,0.016035518
categorical__Gender_0,0.01537999
categorical__Mother's qualification_34,0.014633063
categorical__Father's qualification_34,0.012903985
categorical__Mother's occupation_191,0.012595193
categorical__Course_9130,0.012027747
numeric__Curricular units 1st sem (credited),0.011426166
categorical__Course_9238,0.01112745
categorical__Course_9991,0.011013574
categorical__Application mode_1,0.010844016
numeric__Curricular units 1st sem (evaluations),0.01053268
categorical__Father's occupation_6,0.010447138
categorical__Course_9773,0.010441104
categorical__Mother's occupation_7,0.010332096
categorical__Course_9500,0.01002148
categorical__Father's occupation_9,0.009625645
categorical__Course_9254,0.009430195
categorical__Father's qualification_37,0.009134497
categorical__Father's occupation_4,0.008938343
categorical__Mother's qualification_3,0.008857682
categorical__Mother's qualification_12,0.008856894
categorical__Application mode_17,0.008746575
categorical__Father's qualification_2,0.008527806
categorical__Application mode_7,0.008444283
categorical__Application mode_44,0.008439352
numeric__Unemployment rate,0.0084363585
numeric__Application order,0.008344591
categorical__Father's occupation_2,0.008173334
categorical__Course_9085,0.008010703
categorical__Mother's occupation_3,0.007999958
categorical__Course_9003,0.00799229
numeric__Admission grade,0.007930906
categorical__Mother's occupation_8,0.007848342
numeric__GDP,0.0077914856
categorical__Course_9556,0.0077858996
categorical__Father's qualification_38,0.0077422257
categorical__Application mode_18,0.007737456
categorical__Father's occupation_90,0.007396752
categorical__Mother's qualification_19,0.0072915414
categorical__Daytime/evening attendance_0,0.007140801
categorical__Marital Status_1,0.007124708
categorical__Application mode_15,0.0068857707
categorical__Father's occupation_3,0.0068218503
categorical__Father's qualification_3,0.0067156544
categorical__Displaced_0,0.0067058178
categorical__Father's occupation_7,0.006688839
categorical__Mother's occupation_5,0.0065887254
categorical__Mother's occupation_9,0.006561824
categorical__Course_8014,0.0062221577
categorical__Application mode_43,0.0061890837
numeric__Previous qualification (grade),0.005925737
categorical__Mother's qualification_4,0.005687775
categorical__Father's qualification_1,0.0054900823
categorical__Mother's occupation_90,0.005470188
numeric__Inflation rate,0.005422657
categorical__Course_9119,0.005280449
categorical__Previous qualification_2,0.0050349385
numeric__Curricular units 1st sem (without evaluations),0.004927742
categorical__Mother's qualification_37,0.004887503
categorical__Displaced_1,0.0044361753
categorical__Previous qualification_1,0.004355698
categorical__Course_9670,0.004343673
categorical__Father's qualification_19,0.003950112
categorical__Application mode_39,0.003931649
categorical__Daytime/evening attendance_1,0.002967862
categorical__Nacionality_1,0.00134907
categorical__Mother's occupation_99,0.0
categorical__Mother's occupation_175,0.0
categorical__Father's occupation_152,0.0
categorical__Father's occupation_151,0.0
categorical__Mother's occupation_171,0.0
categorical__Father's occupation_144,0.0
categorical__Father's occupation_143,0.0
categorical__Father's occupation_135,0.0
categorical__Father's occupation_134,0.0
categorical__Father's occupation_132,0.0
categorical__Father's occupation_131,0.0
categorical__Father's occupation_124,0.0
categorical__Father's occupation_123,0.0
categorical__Father's occupation_122,0.0
categorical__Previous qualification_10,0.0
categorical__Father's occupation_0,0.0
categorical__Father's occupation_121,0.0
categorical__Mother's occupation_6,0.0
categorical__Mother's occupation_193,0.0
categorical__Father's occupation_112,0.0
categorical__Father's occupation_103,0.0
categorical__Mother's occupation_194,0.0
categorical__Father's occupation_102,0.0
categorical__Mother's occupation_2,0.0
categorical__Father's occupation_101,0.0
categorical__Father's occupation_10,0.0
categorical__Mother's occupation_4,0.0
categorical__Father's occupation_154,0.0
categorical__Father's occupation_1,0.0
categorical__Mother's occupation_192,0.0
categorical__Father's occupation_181,0.0
categorical__Father's occupation_161,0.0
categorical__International_1,0.0
categorical__Application mode_57,0.0
categorical__Application mode_53,0.0
categorical__Application mode_51,0.0
categorical__Application mode_5,0.0
categorical__Application mode_42,0.0
categorical__Application mode_27,0.0
categorical__International_0,0.0
categorical__Application mode_26,0.0
categorical__Father's occupation_163,0.0
categorical__Application mode_2,0.0
categorical__Application mode_16,0.0
categorical__Application mode_10,0.0
categorical__Marital Status_6,0.0
categorical__Marital Status_5,0.0
