feature,mean_abs_shap
numeric__Curricular units 2nd sem (approved),0.6724078
numeric__Curricular units 1st sem (approved),0.23937649
categorical__Tuition fees up to date_0,0.15265523
numeric__Curricular units 2nd sem (grade),0.14312339
numeric__Age at enrollment,0.12933189
numeric__Curricular units 2nd sem (evaluations),0.12593201
numeric__Curricular units 1st sem (evaluations),0.10539722
numeric__Curricular units 2nd sem (enrolled),0.10493278
numeric__Admission grade,0.10246271
numeric__Unemployment rate,0.08305425
numeric__Curricular units 1st sem (grade),0.08216852
categorical__Scholarship holder_0,0.07681631
numeric__Curricular units 1st sem (enrolled),0.0731312
numeric__Previous qualification (grade),0.06808911
numeric__Application order,0.060977187
categorical__Debtor_0,0.04701605
numeric__GDP,0.04616224
categorical__Course_9238,0.044182673
categorical__Course_9853,0.039010797
categorical__Tuition fees up to date_1,0.038220674
categorical__Mother's occupation_0,0.03789877
categorical__Gender_0,0.034579266
categorical__Displaced_0,0.03298596
categorical__Course_171,0.03094564
categorical__Course_9119,0.029857324
numeric__Inflation rate,0.027228987
categorical__Father's occupation_3,0.02677593
categorical__Mother's occupation_5,0.026638951
numeric__Curricular units 2nd sem (credited),0.02561363
categorical__Scholarship holder_1,0.023244942
categorical__Course_9085,0.020323522
categorical__Application mode_43,0.018693032
categorical__Course_9130,0.01831168
categorical__Father's occupation_5,0.017525977
categorical__Father's occupation_4,0.017071497
categorical__Father's occupation_9,0.015610625
categorical__Course_9500,0.015598357
categorical__Application mode_1,0.015433029
categorical__Course_9254,0.014544588
categorical__Mother's qualification_19,0.013306426
categorical__Course_8014,0.012939725
numeric__Curricular units 1st sem (credited),0.012854548
categorical__Mother's occupation_7,0.012719858
categorical__Father's qualification_19,0.012150421
categorical__Course_9773,0.0120502
categorical__Course_9003,0.011403435
categorical__Father's qualification_38,0.011083117
categorical__Father's occupation_7,0.010529
categorical__Mother's occupation_9,0.010489228
categorical__Father's qualification_2,0.010399857
categorical__Father's occupation_6,0.010080264
categorical__Mother's qualification_1,0.010037654
categorical__Mother's qualification_3,0.009980206
categorical__Mother's occupation_90,0.009932825
categorical__Debtor_1,0.008794342
numeric__Curricular units 1st sem (without evaluations),0.008677525
categorical__Mother's occupation_4,0.008248791
categorical__Father's qualification_3,0.008180155
categorical__Father's occupation_0,0.00816874
categorical__Application mode_18,0.007847393
categorical__Father's qualification_1,0.007817008
categorical__Previous qualification_19,0.007645835
categorical__Gender_1,0.0076430887
categorical__Course_9070,0.0076124193
categorical__Mother's occupation_3,0.007609844
categorical__Course_9991,0.007548502
categorical__Mother's qualification_38,0.007492346
categorical__Mother's qualification_34,0.0070967837
categorical__Mother's qualification_37,0.006999238
categorical__Previous qualification_1,0.006927095
categorical__Mother's occupation_6,0.0069232443
categorical__Course_9147,0.006776022
categorical__Mother's occupation_2,0.0065697837
numeric__Curricular units 2nd sem (without evaluations),0.006544388
categorical__Application mode_44,0.006194383
categorical__Application mode_15,0.0060842233
categorical__Previous qualification_3,0.0059337523
categorical__Father's qualification_37,0.0056698234
categorical__Application mode_17,0.0055330633
categorical__Course_9670,0.0055185305
categorical__Father's occupation_90,0.005385812
categorical__Father's occupation_1,0.0052623684
categorical__Application mode_39,0.0051393188
categorical__Nacionality_1,0.005038813
categorical__Mother's occupation_8,0.004837146
categorical__Father's occupation_10,0.004745557
categorical__Application mode_7,0.0046988204
categorical__Father's qualification_34,0.0041548666
categorical__Displaced_1,0.004059844
categorical__Marital Status_2,0.003988755
categorical__Marital Status_4,0.0039141905
categorical__International_0,0.0037443936
categorical__Father's occupation_2,0.0036024293
categorical__Mother's occupation_191,0.0034738963
categorical__Father's qualification_39,0.0033444986
categorical__Mother's qualification_12,0.0029698142
categorical__Father's occupation_8,0.0029304351
categorical__Mother's qualification_4,0.0024667424
categorical__Marital Status_1,0.0023800035
categorical__Application mode_5,0.0023542482
categorical__Mother's qualification_2,0.0022415845
categorical__Daytime/evening attendance_0,0.0020452004
categorical__Mother's occupation_1,0.0015393861
categorical__Application mode_42,0.0013105936
categorical__Application mode_51,0.0012522824
categorical__Father's qualification_4,0.0011608617
categorical__Father's occupation_193,0.0006660721
categorical__Previous qualification_39,0.0005757271
categorical__Mother's occupation_192,0.00047735192
categorical__Previous qualification_2,0.00046941335
categorical__Daytime/evening attendance_1,0.0004282074
categorical__Previous qualification_12,0.0004065785
categorical__Educational special needs_0,0.00039559687
categorical__Father's qualification_40,0.00034587822
categorical__Course_9556,0.00034403335
categorical__Father's qualification_12,0.0003402123
categorical__Father's occupation_99,0.00032315467
categorical__Previous qualification_4,0.00031245284
categorical__Previous qualification_40,0.0003109933
categorical__Mother's qualification_5,0.0002219694
categorical__Marital Status_5,0.00018852507
categorical__Nacionality_6,0.00013364153
categorical__Father's qualification_5,0.00011939047
categorical__Mother's occupation_99,0.00011287287
categorical__Application mode_16,0.00010955889
categorical__Nacionality_26,0.000100302226
categorical__Application mode_53,7.797624e-05
categorical__Nacionality_41,6.0526574e-05
categorical__Previous qualification_42,4.7962323e-05
categorical__Mother's occupation_141,3.088333e-05
categorical__Previous qualification_43,1.7709224e-05
categorical__Father's occupation_181,0.0
categorical__Father's occupation_171,0.0
categorical__Father's occupation_183,0.0
categorical__Father's occupation_172,0.0
categorical__Father's occupation_175,0.0
categorical__Father's occupation_192,0.0
categorical__Father's occupation_182,0.0
categorical__Father's occupation_134,0.0
categorical__Father's occupation_135,0.0
categorical__Father's occupation_151,0.0
categorical__Father's occupation_141,0.0
categorical__Father's occupation_163,0.0
categorical__Father's occupation_194,0.0
categorical__Father's occupation_161,0.0
categorical__Father's occupation_154,0.0
categorical__Father's occupation_153,0.0
categorical__Father's occupation_152,0.0
categorical__Father's occupation_143,0.0
categorical__Father's occupation_144,0.0
categorical__Mother's qualification_40,0.0
categorical__Previous qualification_5,0.0
categorical__Father's occupation_195,0.0
categorical__Nacionality_13,0.0
categorical__Marital Status_3,0.0
categorical__Marital Status_6,0.0
categorical__Application mode_10,0.0
categorical__Application mode_2,0.0
categorical__Application mode_26,0.0
categorical__Application mode_27,0.0
categorical__Application mode_57,0.0
categorical__Course_33,0.0
categorical__Previous qualification_10,0.0
categorical__International_1,0.0
categorical__Previous qualification_14,0.0
categorical__Previous qualification_15,0.0
categorical__Previous qualification_38,0.0
categorical__Educational special needs_1,0.0
categorical__Father's occupation_123,0.0
categorical__Previous qualification_6,0.0
categorical__Previous qualification_9,0.0
categorical__Nacionality_100,0.0
categorical__Nacionality_101,0.0
categorical__Nacionality_103,0.0
categorical__Nacionality_105,0.0
categorical__Nacionality_108,0.0
categorical__Nacionality_11,0.0
categorical__Father's occupation_131,0.0
categorical__Nacionality_2,0.0
categorical__Father's occupation_122,0.0
categorical__Father's qualification_6,0.0
categorical__Father's qualification_43,0.0
categorical__Father's qualification_42,0.0
categorical__Father's qualification_41,0.0
categorical__Mother's qualification_18,0.0
categorical__Mother's qualification_22,0.0
categorical__Father's qualification_36,0.0
categorical__Father's qualification_35,0.0
categorical__Mother's qualification_26,0.0
categorical__Father's qualification_31,0.0
categorical__Mother's qualification_29,0.0
categorical__Mother's qualification_30,0.0
categorical__Father's qualification_29,0.0
categorical__Father's qualification_27,0.0
categorical__Father's qualification_26,0.0
categorical__Father's qualification_25,0.0
categorical__Father's qualification_22,0.0
categorical__Father's qualification_20,0.0
categorical__Mother's qualification_35,0.0
categorical__Mother's qualification_36,0.0
categorical__Father's qualification_18,0.0
categorical__Father's qualification_14,0.0
categorical__Father's qualification_11,0.0
categorical__Father's qualification_10,0.0
categorical__Mother's qualification_39,0.0
categorical__Mother's qualification_9,0.0
categorical__Mother's qualification_6,0.0
categorical__Mother's qualification_44,0.0
categorical__Mother's qualification_43,0.0
categorical__Mother's qualification_42,0.0
categorical__Father's qualification_44,0.0
categorical__Father's qualification_9,0.0
categorical__Father's occupation_112,0.0
categorical__Mother's qualification_14,0.0
categorical__Father's occupation_103,0.0
categorical__Father's occupation_102,0.0
categorical__Father's occupation_101,0.0
categorical__Nacionality_14,0.0
categorical__Mother's qualification_41,0.0
categorical__Nacionality_21,0.0
categorical__Nacionality_22,0.0
categorical__Nacionality_24,0.0
categorical__Nacionality_25,0.0
categorical__Nacionality_32,0.0
categorical__Nacionality_62,0.0
categorical__Mother's qualification_10,0.0
categorical__Mother's occupation_194,0.0
categorical__Mother's occupation_193,0.0
categorical__Mother's qualification_11,0.0
categorical__Mother's occupation_175,0.0
categorical__Mother's occupation_173,0.0
categorical__Mother's occupation_171,0.0
categorical__Mother's occupation_153,0.0
categorical__Mother's occupation_152,0.0
categorical__Mother's occupation_151,0.0
categorical__Mother's occupation_144,0.0
categorical__Mother's occupation_143,0.0
categorical__Mother's occupation_134,0.0
categorical__Mother's occupation_132,0.0
categorical__Mother's occupation_131,0.0
categorical__Mother's occupation_123,0.0
categorical__Mother's occupation_122,0.0
categorical__Mother's occupation_10,0.0
categorical__Father's qualification_30,0.0
