feature,importance
numeric__Curricular units 2nd sem (approved),0.06473882
categorical__Tuition fees up to date_1,0.03842102
categorical__Tuition fees up to date_0,0.037233166
categorical__Course_171,0.026690584
numeric__Curricular units 2nd sem (enrolled),0.015388954
numeric__Curricular units 1st sem (approved),0.015190544
numeric__Curricular units 1st sem (enrolled),0.014815753
numeric__Curricular units 2nd sem (grade),0.013573326
categorical__Course_9853,0.013497706
categorical__Mother's occupation_0,0.01348245
categorical__Scholarship holder_1,0.0129429
categorical__Father's qualification_34,0.012129707
categorical__Scholarship holder_0,0.011480217
numeric__Curricular units 1st sem (evaluations),0.0111657325
categorical__Course_9238,0.010330433
categorical__Debtor_1,0.010119713
categorical__Debtor_0,0.00996238
categorical__Course_9130,0.009096214
categorical__Mother's qualification_34,0.008918365
categorical__Father's qualification_2,0.0088700885
categorical__Course_9119,0.008749077
numeric__Curricular units 2nd sem (evaluations),0.00873017
categorical__Mother's occupation_191,0.00863163
categorical__Mother's occupation_90,0.0085172355
numeric__Curricular units 2nd sem (credited),0.008499068
categorical__Application mode_15,0.008481602
numeric__Age at enrollment,0.008242933
categorical__Course_9254,0.008070132
numeric__GDP,0.007880028
categorical__Previous qualification_40,0.007678113
categorical__Father's qualification_5,0.007366347
categorical__Father's qualification_4,0.007320247
categorical__Father's occupation_0,0.0072753555
categorical__Mother's occupation_8,0.0072171413
categorical__Application mode_43,0.0071435706
categorical__Father's occupation_4,0.007102916
categorical__Course_9085,0.006936879
categorical__Previous qualification_19,0.0069134897
categorical__Mother's occupation_7,0.006912917
numeric__Curricular units 1st sem (without evaluations),0.006884588
categorical__Course_9773,0.006846724
categorical__Application mode_53,0.0068412162
categorical__Mother's occupation_6,0.006818768
categorical__Gender_1,0.006792219
categorical__Course_9500,0.0067833606
categorical__Course_9556,0.0066821515
categorical__Application mode_18,0.006654767
categorical__Application mode_7,0.006616887
categorical__Course_8014,0.006614691
categorical__Nacionality_26,0.006603736
numeric__Curricular units 1st sem (grade),0.0065968377
categorical__Father's occupation_6,0.006569673
numeric__Curricular units 1st sem (credited),0.0065406365
categorical__Application mode_5,0.0065131276
categorical__Previous qualification_4,0.0064916685
categorical__Course_9147,0.006457303
categorical__Gender_0,0.0064047757
categorical__Father's occupation_8,0.0063167983
categorical__Previous qualification_3,0.0063010897
numeric__Inflation rate,0.0062940232
categorical__International_0,0.0062441747
numeric__Admission grade,0.0062337546
numeric__Application order,0.0062312046
categorical__Application mode_1,0.006206172
categorical__Father's occupation_90,0.0062010675
categorical__Father's occupation_10,0.006178558
numeric__Unemployment rate,0.0061389757
categorical__Course_9670,0.0061232075
categorical__Course_9991,0.006099035
categorical__Father's occupation_5,0.0060948213
numeric__Curricular units 2nd sem (without evaluations),0.006086833
categorical__Mother's occupation_3,0.006071872
categorical__Application mode_17,0.0059625856
numeric__Previous qualification (grade),0.005959809
categorical__Mother's qualification_2,0.005875439
categorical__Father's qualification_19,0.005858867
categorical__Mother's qualification_37,0.005858219
categorical__Previous qualification_2,0.0058444687
categorical__Father's qualification_39,0.005838394
categorical__Application mode_42,0.0058129737
categorical__Course_9070,0.0058024838
categorical__Father's qualification_12,0.0057941256
categorical__Nacionality_1,0.00574322
categorical__Father's occupation_9,0.005603446
categorical__Course_9003,0.005602495
categorical__Father's occupation_2,0.005571203
categorical__Mother's qualification_3,0.00555898
categorical__Mother's occupation_192,0.005553555
categorical__Father's occupation_3,0.005532283
categorical__Mother's qualification_1,0.005532222
categorical__Father's qualification_38,0.0055265445
categorical__Father's qualification_1,0.0054815896
categorical__Previous qualification_1,0.005463946
categorical__Father's qualification_3,0.0053921086
categorical__Mother's occupation_4,0.0053593856
categorical__Displaced_0,0.005320026
categorical__Application mode_51,0.0052754986
categorical__Nacionality_41,0.0052551623
categorical__Application mode_39,0.0052510924
categorical__Displaced_1,0.005223473
categorical__Application mode_44,0.0052225734
categorical__Mother's qualification_12,0.005215014
categorical__Daytime/evening attendance_0,0.0051524374
categorical__Mother's occupation_9,0.005118136
categorical__Mother's occupation_5,0.00509332
categorical__Father's qualification_37,0.0050716097
categorical__Mother's qualification_38,0.0050529963
categorical__Marital Status_2,0.0050526764
categorical__Mother's qualification_19,0.005009957
categorical__Father's occupation_7,0.0047548017
categorical__Mother's qualification_5,0.004703942
categorical__Father's occupation_1,0.0046035736
categorical__Marital Status_4,0.00458923
categorical__Mother's occupation_1,0.0045059104
categorical__Marital Status_1,0.004487948
categorical__Application mode_16,0.0044545843
categorical__Mother's occupation_2,0.0043713413
categorical__Mother's qualification_4,0.004275139
categorical__Previous qualification_39,0.004171285
categorical__Daytime/evening attendance_1,0.0038827762
categorical__Educational special needs_0,0.003668077
categorical__Previous qualification_12,0.003603331
categorical__Father's qualification_40,0.0035570192
categorical__Father's occupation_193,0.0032122405
categorical__Nacionality_6,0.0031368888
categorical__Previous qualification_43,0.002672905
categorical__Mother's occupation_141,0.0026134101
categorical__Previous qualification_42,0.002083395
categorical__Mother's occupation_99,0.0020352993
categorical__Father's occupation_99,0.0017992753
categorical__Marital Status_5,0.0017237061
categorical__Nacionality_25,0.0
categorical__Nacionality_32,0.0
categorical__Father's occupation_144,0.0
categorical__Father's occupation_192,0.0
categorical__Nacionality_24,0.0
categorical__Nacionality_62,0.0
categorical__Father's occupation_195,0.0
categorical__Father's occupation_194,0.0
categorical__Father's occupation_152,0.0
categorical__Father's occupation_183,0.0
categorical__Father's occupation_153,0.0
categorical__Father's occupation_182,0.0
categorical__Nacionality_21,0.0
categorical__Father's occupation_181,0.0
categorical__Father's occupation_175,0.0
categorical__Father's occupation_172,0.0
categorical__Father's occupation_151,0.0
categorical__Father's occupation_171,0.0
categorical__Father's occupation_163,0.0
categorical__Father's occupation_161,0.0
categorical__Father's occupation_154,0.0
categorical__Nacionality_22,0.0
categorical__Father's qualification_20,0.0
categorical__Nacionality_2,0.0
categorical__Nacionality_14,0.0
categorical__Marital Status_3,0.0
categorical__Marital Status_6,0.0
categorical__Application mode_10,0.0
categorical__Application mode_2,0.0
categorical__Application mode_26,0.0
categorical__Application mode_27,0.0
categorical__Application mode_57,0.0
categorical__Course_33,0.0
categorical__Previous qualification_10,0.0
categorical__Previous qualification_14,0.0
categorical__Previous qualification_15,0.0
categorical__Previous qualification_38,0.0
categorical__International_1,0.0
categorical__Previous qualification_5,0.0
categorical__Previous qualification_6,0.0
categorical__Previous qualification_9,0.0
categorical__Nacionality_100,0.0
categorical__Nacionality_101,0.0
categorical__Nacionality_103,0.0
categorical__Nacionality_105,0.0
categorical__Nacionality_108,0.0
categorical__Educational special needs_1,0.0
categorical__Father's occupation_141,0.0
categorical__Nacionality_11,0.0
categorical__Nacionality_13,0.0
categorical__Father's occupation_143,0.0
categorical__Father's occupation_131,0.0
categorical__Father's occupation_135,0.0
categorical__Mother's occupation_134,0.0
categorical__Mother's occupation_131,0.0
categorical__Mother's occupation_123,0.0
categorical__Mother's occupation_122,0.0
categorical__Mother's occupation_10,0.0
categorical__Mother's qualification_41,0.0
categorical__Mother's qualification_42,0.0
categorical__Father's qualification_9,0.0
categorical__Father's qualification_6,0.0
categorical__Mother's qualification_43,0.0
categorical__Father's qualification_44,0.0
categorical__Father's qualification_43,0.0
categorical__Father's qualification_42,0.0
categorical__Father's qualification_41,0.0
categorical__Mother's qualification_44,0.0
categorical__Mother's qualification_6,0.0
categorical__Mother's qualification_9,0.0
categorical__Father's qualification_10,0.0
categorical__Father's qualification_36,0.0
categorical__Father's qualification_35,0.0
categorical__Father's qualification_11,0.0
categorical__Father's qualification_31,0.0
categorical__Father's qualification_14,0.0
categorical__Father's qualification_18,0.0
categorical__Father's qualification_29,0.0
categorical__Father's qualification_27,0.0
categorical__Father's qualification_26,0.0
categorical__Father's qualification_25,0.0
categorical__Mother's occupation_132,0.0
categorical__Mother's occupation_143,0.0
categorical__Father's occupation_134,0.0
categorical__Mother's occupation_144,0.0
categorical__Father's qualification_22,0.0
categorical__Father's occupation_123,0.0
categorical__Father's occupation_122,0.0
categorical__Father's occupation_112,0.0
categorical__Father's occupation_103,0.0
categorical__Father's occupation_102,0.0
categorical__Father's occupation_101,0.0
categorical__Mother's qualification_10,0.0
categorical__Mother's qualification_11,0.0
categorical__Mother's qualification_14,0.0
categorical__Mother's qualification_18,0.0
categorical__Mother's qualification_22,0.0
categorical__Mother's qualification_26,0.0
categorical__Mother's qualification_29,0.0
categorical__Mother's qualification_30,0.0
categorical__Mother's qualification_35,0.0
categorical__Mother's qualification_36,0.0
categorical__Mother's qualification_39,0.0
categorical__Mother's occupation_194,0.0
categorical__Mother's occupation_193,0.0
categorical__Mother's qualification_40,0.0
categorical__Mother's occupation_175,0.0
categorical__Mother's occupation_173,0.0
categorical__Mother's occupation_171,0.0
categorical__Mother's occupation_153,0.0
categorical__Mother's occupation_152,0.0
categorical__Mother's occupation_151,0.0
categorical__Father's qualification_30,0.0
