feature,mean_abs_shap,feature_family
numeric__assessment_score_mean_early,0.25848317,early_academic_progress
numeric__assessment_type_count_tma_early,0.24348854,early_academic_progress
numeric__assessment_submission_ratio_early,0.2126425,early_academic_progress
numeric__studied_credits,0.1946561,program_setup
categorical__code_module_GGG,0.19248575,program_setup
numeric__vle_total_clicks_early,0.13879135,early_engagement
numeric__assessment_mean_submission_delay_early,0.122685984,early_academic_progress
numeric__assessment_weighted_score_ratio_early,0.10694089,early_academic_progress
numeric__assessment_score_min_early,0.09208296,early_academic_progress
numeric__early_assessment_weight_expected,0.090826154,early_academic_progress
numeric__vle_active_days_early,0.081904456,early_engagement
categorical__code_module_BBB,0.0768024,program_setup
numeric__date_registration,0.076176345,program_setup
numeric__vle_event_count_early,0.073932886,early_engagement
categorical__highest_education_Lower Than A Level,0.071310796,prior_preparation
categorical__code_presentation_2014J,0.06397448,program_setup
numeric__assessment_score_max_early,0.05563374,early_academic_progress
numeric__assessment_weighted_score_sum_early,0.051294688,early_academic_progress
numeric__vle_clicks_quiz_early,0.04905217,early_engagement
categorical__code_presentation_2013J,0.045343347,program_setup
numeric__vle_clicks_page_early,0.040280495,early_engagement
numeric__vle_clicks_url_early,0.038738254,early_engagement
numeric__vle_clicks_resource_early,0.038215965,early_engagement
categorical__disability_N,0.03659003,demographics
numeric__vle_clicks_oucontent_early,0.035859264,early_engagement
numeric__vle_clicks_subpage_early,0.03547111,early_engagement
numeric__module_presentation_length,0.034826722,program_setup
numeric__early_assessment_count_expected,0.0342417,early_academic_progress
categorical__gender_F,0.031809703,demographics
numeric__vle_clicks_homepage_early,0.030832203,early_engagement
numeric__vle_unique_sites_early,0.030775879,early_engagement
categorical__region_Scotland,0.027578836,demographics
numeric__num_of_prev_attempts,0.025270946,prior_preparation
numeric__vle_clicks_forumng_early,0.024286266,early_engagement
categorical__code_module_DDD,0.02418813,program_setup
numeric__vle_clicks_questionnaire_early,0.0225885,early_engagement
numeric__vle_clicks_dualpane_early,0.020465182,early_engagement
categorical__code_module_FFF,0.018820731,program_setup
categorical__code_module_AAA,0.018234912,program_setup
categorical__code_module_CCC,0.017708821,program_setup
categorical__age_band_35-55,0.017643364,demographics
categorical__region_Wales,0.015252359,demographics
numeric__vle_clicks_htmlactivity_early,0.015107637,early_engagement
categorical__region_East Midlands Region,0.015081812,demographics
categorical__highest_education_A Level or Equivalent,0.014439414,prior_preparation
numeric__registration_lead_days,0.014016746,program_setup
numeric__vle_clicks_ouwiki_early,0.013829231,early_engagement
numeric__vle_clicks_oucollaborate_early,0.0134199895,early_engagement
categorical__age_band_0-35,0.011305054,demographics
categorical__disability_Y,0.010803702,demographics
categorical__code_module_EEE,0.010173413,program_setup
categorical__region_West Midlands Region,0.009700811,demographics
numeric__assessment_banked_count_early,0.008788837,early_academic_progress
categorical__gender_M,0.006708898,demographics
categorical__imd_band_20-30%,0.0057513937,demographics
numeric__vle_clicks_externalquiz_early,0.0055802846,early_engagement
categorical__imd_band_50-60%,0.0046829106,demographics
numeric__assessment_score_std_early,0.004270946,early_academic_progress
numeric__vle_clicks_glossary_early,0.003743971,early_engagement
categorical__code_presentation_2014B,0.0035525288,program_setup
categorical__highest_education_HE Qualification,0.0035207935,prior_preparation
categorical__imd_band_90-100%,0.0030350827,demographics
categorical__imd_band_0-10%,0.002929702,demographics
categorical__region_London Region,0.0027340539,demographics
categorical__imd_band_70-80%,0.0026421868,demographics
categorical__code_presentation_2013B,0.0024452598,program_setup
categorical__imd_band_10-20,0.0023168132,demographics
numeric__vle_clicks_ouelluminate_early,0.002307838,early_engagement
numeric__assessment_late_submission_count_early,0.0022056613,early_academic_progress
categorical__region_Yorkshire Region,0.0018879682,demographics
categorical__region_South West Region,0.0016129209,demographics
categorical__region_South East Region,0.0015703336,demographics
categorical__imd_band_80-90%,0.0015270476,demographics
categorical__imd_band_40-50%,0.0015014611,demographics
categorical__imd_band_60-70%,0.0014226839,demographics
categorical__region_South Region,0.0014008969,demographics
numeric__assessment_submission_count_early,0.0013778792,early_academic_progress
categorical__region_Ireland,0.0013617611,demographics
categorical__imd_band_30-40%,0.0013187595,demographics
categorical__region_North Region,0.00084058614,demographics
categorical__region_North Western Region,0.0007199875,demographics
categorical__region_East Anglian Region,0.0005613006,demographics
numeric__assessment_type_count_cma_early,0.0003919177,early_academic_progress
categorical__highest_education_No Formal quals,0.00034854288,prior_preparation
categorical__highest_education_Post Graduate Qualification,0.00022159293,prior_preparation
categorical__age_band_55<=,2.1358259e-05,demographics
numeric__vle_clicks_repeatactivity_early,0.0,early_engagement
numeric__vle_clicks_sharedsubpage_early,0.0,early_engagement
numeric__vle_clicks_dataplus_early,0.0,early_engagement
