task,model,model_label,random_state,holdout_rows,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision
uci_binary_early,logistic_regression,UCI early warning - Logistic Regression,7,885,0.8519774011299435,0.8297262777999109,0.7703180212014135,0.7676056338028169,0.7689594356261023,0.8991703967565794,0.8624123305466305
uci_binary_early,logistic_regression,UCI early warning - Logistic Regression,21,885,0.847457627118644,0.8393991235265168,0.7365079365079366,0.8169014084507042,0.7746243739565943,0.9115441400482763,0.8629950401911138
uci_binary_early,logistic_regression,UCI early warning - Logistic Regression,42,885,0.8621468926553673,0.8511430479716904,0.7664473684210527,0.8204225352112676,0.7925170068027211,0.9109289681516721,0.8697908296442151
uci_binary_early,logistic_regression,UCI early warning - Logistic Regression,84,885,0.8655367231638418,0.8601392046120315,0.7619047619047619,0.8450704225352113,0.8013355592654424,0.9191839891261043,0.8786741612652593
uci_binary_early,logistic_regression,UCI early warning - Logistic Regression,126,885,0.8350282485875706,0.8088895268449299,0.7464285714285714,0.7359154929577465,0.7411347517730497,0.8782838461718733,0.8329915105631966
oulad_binary_early,xgboost,OULAD early warning - XGBoost,7,6519,0.8420003067955207,0.8143574067199056,0.7491289198606271,0.741014278680453,0.745049504950495,0.8891875133294892,0.8200892261631043
oulad_binary_early,xgboost,OULAD early warning - XGBoost,21,6519,0.8381653627857033,0.8036204209090645,0.7546972860125261,0.7119645494830132,0.7327083861160375,0.8817759882252888,0.8149038972368686
oulad_binary_early,xgboost,OULAD early warning - XGBoost,42,6519,0.8409265224727719,0.8075126317480128,0.7580477673935618,0.7188577055637617,0.7379327773565832,0.8848458847752878,0.8157806407048527
oulad_binary_early,xgboost,OULAD early warning - XGBoost,84,6519,0.8400061359104157,0.807652838226737,0.7541152263374485,0.7218119153126539,0.7376100628930817,0.8793312063198674,0.8110083590044342
oulad_binary_early,xgboost,OULAD early warning - XGBoost,126,6519,0.8387789538272741,0.8055485891147113,0.7533609100310238,0.7173806006893156,0.7349306431273644,0.8830881475279339,0.8065966961556026
