institution,snapshot_day,split,rows,students,prevalence
OULAD_dataset,0,test,5811,5217,0.23748064016520393
OULAD_dataset,0,train,17483,15650,0.23748784533546874
OULAD_dataset,0,validation,5867,5218,0.23708880177262656
OULAD_dataset,35,test,5408,4919,0.17492603550295857
OULAD_dataset,35,train,16223,14708,0.17185477408617394
OULAD_dataset,35,validation,5498,4940,0.17897417242633684
OULAD_dataset,60,test,5240,4793,0.1484732824427481
OULAD_dataset,60,train,15694,14295,0.14362176628010706
OULAD_dataset,60,validation,5319,4811,0.15134423763865387
OULAD_dataset,75,test,5154,4729,0.13407062475746992
OULAD_dataset,75,train,15412,14083,0.12795224500389307
OULAD_dataset,75,validation,5229,4754,0.1367374258940524
UCI_dataset,0,test,885,885,0.32090395480225986
UCI_dataset,0,train,2654,2654,0.3214016578749058
UCI_dataset,0,validation,885,885,0.32090395480225986
