institution,snapshot_day,feature,available_share
OULAD_dataset,0,age_scaled,1.0
OULAD_dataset,0,prior_education_level,1.0
OULAD_dataset,0,study_load,1.0
OULAD_dataset,0,course_progress_ratio,1.0
OULAD_dataset,0,prior_academic_score,0.0
OULAD_dataset,0,previous_attempts,1.0
OULAD_dataset,0,male,1.0
OULAD_dataset,0,declared_support_need,1.0
OULAD_dataset,0,financial_stability,0.8588525770721168
OULAD_dataset,0,assessment_completion_rate,0.0
OULAD_dataset,0,assessment_average_score,0.0
OULAD_dataset,0,assessment_score_available,1.0
OULAD_dataset,0,late_submission_rate,0.0
OULAD_dataset,0,active_day_rate,0.0
OULAD_dataset,0,days_since_last_activity_scaled,0.0
OULAD_dataset,0,recent_activity_rate,0.0
OULAD_dataset,35,age_scaled,1.0
OULAD_dataset,35,prior_education_level,1.0
OULAD_dataset,35,study_load,1.0
OULAD_dataset,35,course_progress_ratio,1.0
OULAD_dataset,35,prior_academic_score,0.0
OULAD_dataset,35,previous_attempts,1.0
OULAD_dataset,35,male,1.0
OULAD_dataset,35,declared_support_need,1.0
OULAD_dataset,35,financial_stability,0.8595230196468724
OULAD_dataset,35,assessment_completion_rate,0.9105753990194995
OULAD_dataset,35,assessment_average_score,0.8277857643112536
OULAD_dataset,35,assessment_score_available,1.0
OULAD_dataset,35,late_submission_rate,0.8278226252349884
OULAD_dataset,35,active_day_rate,1.0
OULAD_dataset,35,days_since_last_activity_scaled,1.0
OULAD_dataset,35,recent_activity_rate,1.0
OULAD_dataset,60,age_scaled,1.0
OULAD_dataset,60,prior_education_level,1.0
OULAD_dataset,60,study_load,1.0
OULAD_dataset,60,course_progress_ratio,1.0
OULAD_dataset,60,prior_academic_score,0.0
OULAD_dataset,60,previous_attempts,1.0
OULAD_dataset,60,male,1.0
OULAD_dataset,60,declared_support_need,1.0
OULAD_dataset,60,financial_stability,0.8595969984382738
OULAD_dataset,60,assessment_completion_rate,0.9085818763569877
OULAD_dataset,60,assessment_average_score,0.8517502761589152
OULAD_dataset,60,assessment_score_available,1.0
OULAD_dataset,60,late_submission_rate,0.8517502761589152
OULAD_dataset,60,active_day_rate,1.0
OULAD_dataset,60,days_since_last_activity_scaled,1.0
OULAD_dataset,60,recent_activity_rate,1.0
OULAD_dataset,75,age_scaled,1.0
OULAD_dataset,75,prior_education_level,1.0
OULAD_dataset,75,study_load,1.0
OULAD_dataset,75,course_progress_ratio,1.0
OULAD_dataset,75,prior_academic_score,0.0
OULAD_dataset,75,previous_attempts,1.0
OULAD_dataset,75,male,1.0
OULAD_dataset,75,declared_support_need,1.0
OULAD_dataset,75,financial_stability,0.859895328552045
OULAD_dataset,75,assessment_completion_rate,1.0
OULAD_dataset,75,assessment_average_score,0.9320798604380693
OULAD_dataset,75,assessment_score_available,1.0
OULAD_dataset,75,late_submission_rate,0.9320798604380693
OULAD_dataset,75,active_day_rate,1.0
OULAD_dataset,75,days_since_last_activity_scaled,1.0
OULAD_dataset,75,recent_activity_rate,1.0
UCI_dataset,0,age_scaled,1.0
UCI_dataset,0,prior_education_level,1.0
UCI_dataset,0,study_load,1.0
UCI_dataset,0,course_progress_ratio,1.0
UCI_dataset,0,prior_academic_score,1.0
UCI_dataset,0,previous_attempts,0.0
UCI_dataset,0,male,1.0
UCI_dataset,0,declared_support_need,1.0
UCI_dataset,0,financial_stability,1.0
UCI_dataset,0,assessment_completion_rate,0.0
UCI_dataset,0,assessment_average_score,0.0
UCI_dataset,0,assessment_score_available,1.0
UCI_dataset,0,late_submission_rate,0.0
UCI_dataset,0,active_day_rate,0.0
UCI_dataset,0,days_since_last_activity_scaled,0.0
UCI_dataset,0,recent_activity_rate,0.0
