comparison,metric,difference,ci_low,ci_high,permutation_p,significant_0_05,test_rows,test_students
UCI_dataset day 0: pooled minus local-only,roc_auc,-0.002536851725996603,-0.010870602712714233,0.006541765793389978,0.5614385614385614,False,885,885
UCI_dataset day 0: pooled minus local-only,average_precision,-0.010072769839325035,-0.02398711700790073,0.004153165079331293,0.31868131868131866,False,885,885
OULAD_dataset day 0: pooled minus local-only,roc_auc,-0.0013763373334771956,-0.008297987421560057,0.005926221114009965,0.7402597402597403,False,5811,5217
OULAD_dataset day 0: pooled minus local-only,average_precision,-0.004916806642340454,-0.010945853905798702,0.0015005970487638896,0.32367632367632365,False,5811,5217
OULAD_dataset day 35: pooled minus local-only,roc_auc,-0.008963997600598184,-0.014580053812423808,-0.002890232974000588,0.004995004995004995,True,5408,4919
OULAD_dataset day 35: pooled minus local-only,average_precision,-0.011913768495816102,-0.020644452710147584,-0.0028645741299077113,0.052947052947052944,False,5408,4919
OULAD_dataset day 60: pooled minus local-only,roc_auc,-0.012657442049918255,-0.018244870007077366,-0.006567536989127515,0.000999000999000999,True,5240,4793
OULAD_dataset day 60: pooled minus local-only,average_precision,-0.010733335208524042,-0.02023451211722095,-0.000462157215956214,0.058941058941058944,False,5240,4793
OULAD_dataset day 75: pooled minus local-only,roc_auc,-0.008642048967989924,-0.014838968036456813,-0.0025791551393930597,0.004995004995004995,True,5154,4729
OULAD_dataset day 75: pooled minus local-only,average_precision,-0.008157979906241841,-0.02010111707318398,0.001764646477934888,0.18181818181818182,False,5154,4729
