snapshot_day,threshold,weighted_f1,model,training_scenario
0,0.42,0.6045197740112994,Logistic Regression,uci_source
0,0.57,0.6037037037037037,Logistic Regression,uci_source
0,0.54,0.6018018018018019,Logistic Regression,uci_source
0,0.55,0.6010928961748634,Logistic Regression,uci_source
0,0.36,0.6007802340702211,Logistic Regression,uci_source
0,0.56,0.6007326007326007,Logistic Regression,uci_source
0,0.43,0.6005747126436782,Logistic Regression,uci_source
0,0.38,0.6005361930294907,Logistic Regression,uci_source
0,0.37,0.6,Logistic Regression,uci_source
0,0.39,0.5994550408719346,Logistic Regression,uci_source
0,0.44,0.5991316931982634,Logistic Regression,uci_source
0,0.41,0.5986013986013986,Logistic Regression,uci_source
0,0.53,0.5978647686832741,Logistic Regression,uci_source
0,0.58,0.5962264150943396,Logistic Regression,uci_source
0,0.49,0.5960912052117264,Logistic Regression,uci_source
0,0.5,0.5953177257525084,Logistic Regression,uci_source
0,0.52,0.5950704225352113,Logistic Regression,uci_source
0,0.4,0.5950413223140496,Logistic Regression,uci_source
0,0.51,0.5934819897084048,Logistic Regression,uci_source
0,0.48,0.5923566878980892,Logistic Regression,uci_source
0,0.47,0.5919003115264798,Logistic Regression,uci_source
0,0.34,0.5908529048207665,Logistic Regression,uci_source
0,0.45,0.5905044510385756,Logistic Regression,uci_source
0,0.59,0.5893536121673004,Logistic Regression,uci_source
0,0.35,0.5885350318471337,Logistic Regression,uci_source
0,0.6,0.5877862595419847,Logistic Regression,uci_source
0,0.46,0.5861027190332326,Logistic Regression,uci_source
0,0.62,0.5852713178294574,Logistic Regression,uci_source
0,0.61,0.5846153846153846,Logistic Regression,uci_source
0,0.63,0.5803921568627451,Logistic Regression,uci_source
0,0.33,0.5800240673886884,Logistic Regression,uci_source
0,0.64,0.5720000000000001,Logistic Regression,uci_source
0,0.32,0.5654692931633837,Logistic Regression,uci_source
0,0.65,0.5532786885245902,Logistic Regression,uci_source
0,0.31,0.5521885521885522,Logistic Regression,uci_source
0,0.66,0.55,Logistic Regression,uci_source
0,0.67,0.5470085470085471,Logistic Regression,uci_source
0,0.68,0.5379609544468548,Logistic Regression,uci_source
0,0.73,0.5379310344827587,Logistic Regression,uci_source
0,0.72,0.5366972477064221,Logistic Regression,uci_source
0,0.71,0.5351473922902495,Logistic Regression,uci_source
0,0.3,0.5331905781584583,Logistic Regression,uci_source
0,0.7,0.5324384787472036,Logistic Regression,uci_source
0,0.69,0.531868131868132,Logistic Regression,uci_source
0,0.29,0.5312820512820513,Logistic Regression,uci_source
0,0.74,0.5290023201856149,Logistic Regression,uci_source
0,0.76,0.5248226950354611,Logistic Regression,uci_source
0,0.75,0.5233644859813085,Logistic Regression,uci_source
0,0.28,0.5216535433070866,Logistic Regression,uci_source
0,0.27,0.5169409486931268,Logistic Regression,uci_source
0,0.26,0.5138490926456543,Logistic Regression,uci_source
0,0.77,0.5119617224880384,Logistic Regression,uci_source
0,0.25,0.5116713352007468,Logistic Regression,uci_source
0,0.24,0.5082568807339448,Logistic Regression,uci_source
0,0.23,0.5054347826086956,Logistic Regression,uci_source
0,0.22,0.5004484304932735,Logistic Regression,uci_source
0,0.78,0.5,Logistic Regression,uci_source
0,0.21,0.4959999999999999,Logistic Regression,uci_source
0,0.2,0.49033391915641467,Logistic Regression,uci_source
0,0.14,0.4883520276100085,Logistic Regression,uci_source
0,0.15,0.4883520276100085,Logistic Regression,uci_source
0,0.19,0.4873803307223672,Logistic Regression,uci_source
0,0.16,0.48704663212435223,Logistic Regression,uci_source
0,0.18,0.48695652173913034,Logistic Regression,uci_source
0,0.11,0.4863013698630136,Logistic Regression,uci_source
0,0.12,0.48625429553264593,Logistic Regression,uci_source
0,0.13,0.48625429553264593,Logistic Regression,uci_source
